Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,ImageNet,OmniVec,92.4,1.0,0.0,0,2311.05709v1
Image Classification,ImageNet,CoCa (finetuned),91.0,0.9582089552238804,2100000000.0,"'ALIGN', 'Transformer', 'JFT-3B'",2205.01917v2
Image Classification,ImageNet,Model soups (BASIC-L),90.98,0.9576119402985074,2440000000.0,"'ALIGN', 'JFT-3B', 'Conv+Transformer'",2203.05482v3
Image Classification,ImageNet,Model soups (ViT-G/14),90.94,0.9564179104477608,1843000000.0,"'JFT-3B', 'Transformer'",2203.05482v3
Image Classification,ImageNet,ViT-e,90.9,0.9552238805970148,3900000000.0,"'Transformer', 'JFT-3B'",2209.06794v4
Image Classification,ImageNet,CoAtNet-7,90.88,0.9546268656716416,2440000000.0,"'Conv+Transformer', 'JFT-3B'",2106.04803v2
Image Classification,ImageNet,CoCa (frozen),90.6,0.9462686567164176,2100000000.0,"'Transformer', 'ALIGN', 'JFT-3B'",2205.01917v2
Image Classification,ImageNet,CoAtNet-6,90.45,0.9417910447761192,1470000000.0,"'Conv+Transformer', 'JFT-3B'",2106.04803v2
Image Classification,ImageNet,ViT-G/14,90.45,0.9417910447761192,1843000000.0,'Transformer',2106.04560v2
Image Classification,ImageNet,DaViT-G,90.4,0.9402985074626866,1437000000.0,'Transformer',2204.03645v1
Image Classification,ImageNet,DaViT-H,90.2,0.9343283582089552,362000000.0,'Transformer',2204.03645v1
Image Classification,ImageNet,Meta Pseudo Labels (EfficientNet-L2),90.2,0.9343283582089552,480000000.0,"'JFT-300M', 'EfficientNet'",2003.10580v4
Image Classification,ImageNet,SwinV2-G,90.17,0.9334328358208954,3000000000.0,'Transformer',2111.09883v2
Image Classification,ImageNet,InternImage-DCNv3-G (M3I Pre-training),90.1,0.9313432835820892,3000000000.0,0,2211.05778v4
Image Classification,ImageNet,Florence-CoSwin-H,90.05,0.9298507462686564,893000000.0,"'FLD-900M', 'Transformer'",2111.11432v1
Image Classification,ImageNet,Meta Pseudo Labels (EfficientNet-B6-Wide),90.0,0.9283582089552236,390000000.0,"'JFT-300M', 'EfficientNet'",2003.10580v4
Image Classification,ImageNet,ONE-PEACE,89.8,0.9223880597014924,1520000000.0,0,2305.11172v1
Image Classification,ImageNet,EVA,89.7,0.9194029850746268,1000000000.0,0,2211.07636v2
Image Classification,ImageNet,M3I Pre-training (InternImage-H),89.6,0.9164179104477608,0.0,"'YFCC-15M', 'Laion-400M'",2211.09807v2
