name|accuracy|params|hardware_req|tags|id
OmniVec|92.4|null|null|[']']|2311.05709v1
BASIC-L (Lion, fine-tuned)|91.1|2440000000.0|null|['Conv+Transformer', 'ALIGN', 'JFT-3B']|Null
CoCa (finetuned)|91.0|2100000000.0|null|['ALIGN', 'Transformer', 'JFT-3B']|2205.01917v2
Model soups (BASIC-L)|90.98|2440000000.0|null|['ALIGN', 'JFT-3B', 'Conv+Transformer']|2203.05482v3
Model soups (ViT-G/14)|90.94|1843000000.0|null|['JFT-3B', 'Transformer']|2203.05482v3
ViT-e|90.9|3900000000.0|null|['Transformer', 'JFT-3B']|2209.06794v4
CoAtNet-7|90.88|2440000000.0|null|['Conv+Transformer', 'JFT-3B']|2106.04803v2
ViT-G/14 (Lion)|90.71|1843000000.0|null|['Transformer', 'JFT-3B']|Null
CoCa (frozen)|90.6|2100000000.0|null|['Transformer', 'ALIGN', 'JFT-3B']|2205.01917v2
CoAtNet-6|90.45|1470000000.0|null|['Conv+Transformer', 'JFT-3B']|2106.04803v2
ViT-G/14|90.45|1843000000.0|null|['Transformer']|2106.04560v2
DaViT-G|90.4|1437000000.0|null|['Transformer']|2204.03645v1
DaViT-H|90.2|362000000.0|null|['Transformer']|2204.03645v1
Meta Pseudo Labels (EfficientNet-L2)|90.2|480000000.0|95040.0|['JFT-300M', 'EfficientNet']|2003.10580v4
SwinV2-G|90.17|3000000000.0|null|['Transformer']|2111.09883v2
InternImage-DCNv3-G (M3I Pre-training)|90.1|3000000000.0|null|[']']|2211.05778v4
MAWS (ViT-6.5B)|90.1|6500000000.0|null|[']']|Null
Florence-CoSwin-H|90.05|893000000.0|null|['FLD-900M', 'Transformer']|2111.11432v1
Meta Pseudo Labels (EfficientNet-B6-Wide)|90.0|390000000.0|null|['JFT-300M', 'EfficientNet']|2003.10580v4
RevCol-H|90.0|2158000000.0|null|['Pure CNN', 'Reversible', 'CNN']|Null
ONE-PEACE|89.8|1520000000.0|null|[']']|2305.11172v1
MAWS (ViT-2B)|89.8|2000000000.0|null|[']']|Null
EVA|89.7|1000000000.0|null|[']']|2211.07636v2
M3I Pre-training (InternImage-H)|89.6|null|null|['YFCC-15M', 'Laion-400M']|2211.09807v2
ViT-L/16 (384res, distilled from ViT-22B)|89.6|307000000.0|null|[']']|Null
InternImage-H|89.6|1080000000.0|null|[']']|2211.05778v4
MaxViT-XL (512res, JFT)|89.53|null|null|['JFT-300M']|2204.01697v4
MAWS (ViT-H)|89.5|650000000.0|null|[']']|Null
MaxViT-XL (384res, JFT)|89.41|null|null|['JFT-300M']|2204.01697v4
MaxViT-L (512res, JFT)|89.41|null|null|['JFT-300M']|2204.01697v4
NFNet-F4+|89.2|527000000.0|null|['CNN', 'JFT-300M']|2102.06171v1
