Dataset_CIFAR-10,Dataset_CIFAR-100,Dataset_COCO,Dataset_COCO minivar,Dataset_CityScapes,Dataset_ImageNet,Dataset_KITTI,Dataset_MNIST,Dataset_NYU Depth v2,Dataset_SVHN,Dataset_ShapeNet,Task_Depth Estimation,Task_Image Classification,Task_Object Detection,Task_Semantic Segmentation,Task_Text to Image,accuracy_norm,difficulty
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1.0,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9582089552238804,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9576119402985074,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9564179104477608,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9552238805970148,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9546268656716416,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9462686567164176,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9417910447761192,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9417910447761192,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9402985074626866,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9343283582089552,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9343283582089552,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9334328358208954,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9313432835820892,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9298507462686564,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9283582089552236,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9223880597014924,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9194029850746268,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9164179104477608,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9164179104477608,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9143283582089552,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9107462686567162,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9107462686567162,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9044776119402984,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.902089552238806,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.9014925373134324,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.898507462686567,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8955223880597015,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8946268656716417,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8931343283582086,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8925373134328356,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8895522388059701,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8892537313432833,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8877611940298507,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8868656716417909,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8865671641791042,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8850746268656714,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8841791044776117,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8838805970149254,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8835820895522387,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8835820895522387,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8835820895522387,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8835820895522387,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8823880597014923,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8805970149253731,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8805970149253731,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8805970149253731,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8799999999999997,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8797014925373134,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8794029850746267,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8794029850746267,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8782089552238802,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8776119402985072,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8758208955223877,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8755223880597015,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8746268656716417,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8716417910447758,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8710447761194028,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8686567164179103,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8686567164179103,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8686567164179103,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8686567164179103,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8668656716417908,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8656716417910448,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8626865671641789,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8626865671641789,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8626865671641789,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8626865671641789,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8626865671641789,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.8626865671641789,0.7801000883132175
