Task_Depth Estimation,Task_Image Classification,Task_Image Generation,Task_Object Detection,Task_Semantic Segmentation,Task_Text to Image,Task_Text-to-Image,accuracy_norm,difficulty
False,True,False,False,False,False,False,1.0,0.5303138884907551
False,True,False,False,False,False,False,0.8924862553451433,0.5303138884907551
False,True,False,False,False,False,False,0.8552229688454488,0.5303138884907551
False,True,False,False,False,False,False,0.8399511301160657,0.5303138884907551
False,True,False,False,False,False,False,0.8277336591325596,0.5303138884907551
False,True,False,False,False,False,False,0.8246792913866827,0.5303138884907551
False,True,False,False,False,False,False,0.8246792913866827,0.5303138884907551
False,True,False,False,False,False,False,0.815516188149053,0.5303138884907551
False,True,False,False,False,False,False,0.7971899816737935,0.5303138884907551
False,True,False,False,False,False,False,0.7971899816737935,0.5303138884907551
False,True,False,False,False,False,False,0.7910812461820402,0.5303138884907551
False,True,False,False,False,False,False,0.7238851557727549,0.5303138884907551
False,True,False,False,False,False,False,0.7147220525351252,0.5303138884907551
False,True,False,False,False,False,False,0.6933414783139888,0.5303138884907551
False,True,False,False,False,False,False,0.6841783750763591,0.5303138884907551
False,True,False,False,False,False,False,0.6780696395846059,0.5303138884907551
False,True,False,False,False,False,False,0.6566890653634696,0.5303138884907551
False,True,False,False,False,False,False,0.6505803298717168,0.5303138884907551
False,True,False,False,False,False,False,0.6444715943799634,0.5303138884907551
False,True,False,False,False,False,False,0.5345143555284054,0.5303138884907551
False,True,False,False,False,False,False,0.0,0.5303138884907551
False,True,False,False,False,False,False,1.0,
False,True,False,False,False,False,False,0.8730964467005076,
False,True,False,False,False,False,False,0.246192893401015,
False,True,False,False,False,False,False,0.0,
True,False,False,False,False,False,False,1.0,0.0
True,False,False,False,False,False,False,0.993421052631579,0.0
True,False,False,False,False,False,False,0.986842105263158,0.0
True,False,False,False,False,False,False,0.9802631578947372,0.0
True,False,False,False,False,False,False,0.9671052631578948,0.0
True,False,False,False,False,False,False,0.9605263157894738,0.0
True,False,False,False,False,False,False,0.9539473684210528,0.0
True,False,False,False,False,False,False,0.9539473684210528,0.0
True,False,False,False,False,False,False,0.9539473684210528,0.0
True,False,False,False,False,False,False,0.9473684210526316,0.0
True,False,False,False,False,False,False,0.9407894736842106,0.0
True,False,False,False,False,False,False,0.9407894736842106,0.0
True,False,False,False,False,False,False,0.9407894736842106,0.0
True,False,False,False,False,False,False,0.9407894736842106,0.0
True,False,False,False,False,False,False,0.9407894736842106,0.0
True,False,False,False,False,False,False,0.9407894736842106,0.0
True,False,False,False,False,False,False,0.9342105263157896,0.0
True,False,False,False,False,False,False,0.9276315789473686,0.0
True,False,False,False,False,False,False,0.9276315789473686,0.0
True,False,False,False,False,False,False,0.9276315789473686,0.0
True,False,False,False,False,False,False,0.9276315789473686,0.0
True,False,False,False,False,False,False,0.9210526315789476,0.0
True,False,False,False,False,False,False,0.9078947368421052,0.0
True,False,False,False,False,False,False,0.8947368421052633,0.0
True,False,False,False,False,False,False,0.8947368421052633,0.0
True,False,False,False,False,False,False,0.8881578947368421,0.0
True,False,False,False,False,False,False,0.8881578947368421,0.0
True,False,False,False,False,False,False,0.8881578947368421,0.0
True,False,False,False,False,False,False,0.861842105263158,0.0
True,False,False,False,False,False,False,0.8486842105263158,0.0
True,False,False,False,False,False,False,0.8407894736842108,0.0
True,False,False,False,False,False,False,0.8092105263157895,0.0
True,False,False,False,False,False,False,0.7960526315789475,0.0
True,False,False,False,False,False,False,0.7960526315789475,0.0
True,False,False,False,False,False,False,0.7763157894736843,0.0
True,False,False,False,False,False,False,0.6710526315789475,0.0
True,False,False,False,False,False,False,0.6578947368421053,0.0
True,False,False,False,False,False,False,0.6513157894736843,0.0
True,False,False,False,False,False,False,0.6381578947368421,0.0
True,False,False,False,False,False,False,0.6381578947368421,0.0
True,False,False,False,False,False,False,0.6381578947368421,0.0
True,False,False,False,False,False,False,0.6381578947368421,0.0
True,False,False,False,False,False,False,0.6315789473684211,0.0
True,False,False,False,False,False,False,0.618421052631579,0.0
True,False,False,False,False,False,False,0.5855263157894738,0.0
True,False,False,False,False,False,False,0.5723684210526316,0.0
True,False,False,False,False,False,False,0.5460526315789475,0.0
True,False,False,False,False,False,False,0.5328947368421053,0.0
True,False,False,False,False,False,False,0.5263157894736842,0.0
True,False,False,False,False,False,False,0.5263157894736842,0.0
True,False,False,False,False,False,False,0.5197368421052632,0.0
True,False,False,False,False,False,False,0.4868421052631579,0.0
True,False,False,False,False,False,False,0.4802631578947369,0.0
True,False,False,False,False,False,False,0.4407894736842105,0.0
True,False,False,False,False,False,False,0.4276315789473685,0.0
True,False,False,False,False,False,False,0.3947368421052631,0.0
True,False,False,False,False,False,False,0.3947368421052631,0.0
True,False,False,False,False,False,False,0.381578947368421,0.0
True,False,False,False,False,False,False,0.3684210526315789,0.0
True,False,False,False,False,False,False,0.3486842105263157,0.0
True,False,False,False,False,False,False,0.3486842105263157,0.0
True,False,False,False,False,False,False,0.2894736842105264,0.0
True,False,False,False,False,False,False,0.2894736842105264,0.0
True,False,False,False,False,False,False,0.0,0.0
False,True,False,False,False,False,False,1.0,
False,True,False,False,False,False,False,0.5222222222222204,
False,True,False,False,False,False,False,0.0,
False,False,False,True,False,False,False,1.0,0.8024999999999999
False,False,False,True,False,False,False,0.9504518072289156,0.8024999999999999
False,False,False,True,False,False,False,0.922590361445783,0.8024999999999999
False,False,False,True,False,False,False,0.9006024096385542,0.8024999999999999
False,False,False,True,False,False,False,0.8870481927710843,0.8024999999999999
False,False,False,True,False,False,False,0.8840361445783131,0.8024999999999999
False,False,False,True,False,False,False,0.8825301204819277,0.8024999999999999
False,False,False,True,False,False,False,0.8825301204819277,0.8024999999999999
False,False,False,True,False,False,False,0.8704819277108433,0.8024999999999999
False,False,False,True,False,False,False,0.8554216867469879,0.8024999999999999
False,False,False,True,False,False,False,0.8478915662650602,0.8024999999999999
False,False,False,True,False,False,False,0.8433734939759037,0.8024999999999999
False,False,False,True,False,False,False,0.8388554216867469,0.8024999999999999
False,False,False,True,False,False,False,0.8388554216867469,0.8024999999999999
False,False,False,True,False,False,False,0.8162650602409637,0.8024999999999999
False,False,False,True,False,False,False,0.802710843373494,0.8024999999999999
False,False,False,True,False,False,False,0.7751506024096386,0.8024999999999999
False,False,False,True,False,False,False,0.7725903614457831,0.8024999999999999
False,False,False,True,False,False,False,0.7575301204819277,0.8024999999999999
False,False,False,True,False,False,False,0.7334337349397589,0.8024999999999999
False,False,False,True,False,False,False,0.7093373493975903,0.8024999999999999
False,False,False,True,False,False,False,0.6867469879518072,0.8024999999999999
False,False,False,True,False,False,False,0.6099397590361445,0.8024999999999999
False,False,False,True,False,False,False,0.5722891566265059,0.8024999999999999
False,False,False,True,False,False,False,0.536144578313253,0.8024999999999999
False,False,False,True,False,False,False,0.3358433734939759,0.8024999999999999
False,False,False,True,False,False,False,0.2921686746987951,0.8024999999999999
False,False,False,True,False,False,False,0.0,0.8024999999999999
False,True,False,False,False,False,False,1.0,
False,True,False,False,False,False,False,0.4975124378109452,
False,True,False,False,False,False,False,0.101160862354892,
False,True,False,False,False,False,False,0.0,
False,True,False,False,False,False,False,1.0,
False,True,False,False,False,False,False,0.3333333333333327,
False,True,False,False,False,False,False,0.3087719298245616,
False,True,False,False,False,False,False,0.0,
False,True,False,False,False,False,False,1.0,
False,True,False,False,False,False,False,0.0,
False,True,False,False,False,False,False,1.0,
False,True,False,False,False,False,False,1.0,
False,False,False,False,False,False,False,1.0,1.0
False,False,False,False,False,False,False,0.9913221031138342,1.0
False,False,False,False,False,False,False,0.981623277182236,1.0
False,False,False,False,False,False,False,0.9372128637059728,1.0
False,False,False,False,False,False,False,0.9285349668198064,1.0
False,False,False,False,False,False,False,0.7621235324144973,1.0
False,False,False,False,False,False,False,0.0,1.0
False,False,False,False,True,False,False,1.0,0.0
False,False,False,False,True,False,False,0.963855421686747,0.0
False,False,False,False,True,False,False,0.9571084337349396,0.0
False,False,False,False,True,False,False,0.9359036144578314,0.0
False,False,False,False,True,False,False,0.9344578313253012,0.0
False,False,False,False,True,False,False,0.9132530120481928,0.0
False,False,False,False,True,False,False,0.906024096385542,0.0
False,False,False,False,True,False,False,0.906024096385542,0.0
False,False,False,False,True,False,False,0.9036144578313252,0.0
False,False,False,False,True,False,False,0.891566265060241,0.0
False,False,False,False,True,False,False,0.8843373493975905,0.0
False,False,False,False,True,False,False,0.8795180722891566,0.0
False,False,False,False,True,False,False,0.8746987951807228,0.0
False,False,False,False,True,False,False,0.8722891566265061,0.0
False,False,False,False,True,False,False,0.8626506024096385,0.0
False,False,False,False,True,False,False,0.8602409638554217,0.0
False,False,False,False,True,False,False,0.8457831325301204,0.0
False,False,False,False,True,False,False,0.8409638554216868,0.0
False,False,False,False,True,False,False,0.8385542168674698,0.0
False,False,False,False,True,False,False,0.8289156626506026,0.0
False,False,False,False,True,False,False,0.8265060240963855,0.0
False,False,False,False,True,False,False,0.8255421686746989,0.0
False,False,False,False,True,False,False,0.8240963855421688,0.0
False,False,False,False,True,False,False,0.8240963855421688,0.0
False,False,False,False,True,False,False,0.8202409638554219,0.0
False,False,False,False,True,False,False,0.8192771084337349,0.0
False,False,False,False,True,False,False,0.8192771084337349,0.0
False,False,False,False,True,False,False,0.8144578313253011,0.0
False,False,False,False,True,False,False,0.8024096385542168,0.0
False,False,False,False,True,False,False,0.8,0.0
False,False,False,False,True,False,False,0.8,0.0
False,False,False,False,True,False,False,0.8,0.0
False,False,False,False,True,False,False,0.797590361445783,0.0
False,False,False,False,True,False,False,0.7927710843373496,0.0
False,False,False,False,True,False,False,0.7879518072289158,0.0
False,False,False,False,True,False,False,0.7855421686746986,0.0
False,False,False,False,True,False,False,0.7831325301204819,0.0
False,False,False,False,True,False,False,0.7710843373493975,0.0
False,False,False,False,True,False,False,0.7701204819277108,0.0
False,False,False,False,True,False,False,0.7696385542168676,0.0
False,False,False,False,True,False,False,0.7686746987951808,0.0
False,False,False,False,True,False,False,0.7638554216867469,0.0
False,False,False,False,True,False,False,0.7638554216867469,0.0
False,False,False,False,True,False,False,0.7614457831325301,0.0
False,False,False,False,True,False,False,0.7566265060240964,0.0
False,False,False,False,True,False,False,0.7566265060240964,0.0
False,False,False,False,True,False,False,0.7493975903614457,0.0
False,False,False,False,True,False,False,0.7493975903614457,0.0
False,False,False,False,True,False,False,0.7469879518072289,0.0
False,False,False,False,True,False,False,0.7409638554216866,0.0
False,False,False,False,True,False,False,0.7325301204819278,0.0
False,False,False,False,True,False,False,0.7306024096385542,0.0
False,False,False,False,True,False,False,0.7253012048192771,0.0
False,False,False,False,True,False,False,0.7204819277108434,0.0
False,False,False,False,True,False,False,0.7192771084337349,0.0
False,False,False,False,True,False,False,0.7190361445783132,0.0
False,False,False,False,True,False,False,0.7156626506024096,0.0
False,False,False,False,True,False,False,0.7156626506024096,0.0
False,False,False,False,True,False,False,0.7127710843373495,0.0
False,False,False,False,True,False,False,0.7108433734939759,0.0
False,False,False,False,True,False,False,0.7024096385542169,0.0
False,False,False,False,True,False,False,0.6987951807228915,0.0
False,False,False,False,True,False,False,0.6963855421686748,0.0
False,False,False,False,True,False,False,0.6956626506024096,0.0
False,False,False,False,True,False,False,0.6939759036144578,0.0
False,False,False,False,True,False,False,0.6771084337349397,0.0
False,False,False,False,True,False,False,0.6722891566265061,0.0
False,False,False,False,True,False,False,0.6679518072289157,0.0
False,False,False,False,True,False,False,0.655421686746988,0.0
False,False,False,False,True,False,False,0.6513253012048192,0.0
False,False,False,False,True,False,False,0.619277108433735,0.0
False,False,False,False,True,False,False,0.6144578313253011,0.0
False,False,False,False,True,False,False,0.6072289156626506,0.0
False,False,False,False,True,False,False,0.6048192771084336,0.0
False,False,False,False,True,False,False,0.5927710843373494,0.0
False,False,False,False,True,False,False,0.5855421686746988,0.0
False,False,False,False,True,False,False,0.5831325301204819,0.0
False,False,False,False,True,False,False,0.5783132530120481,0.0
False,False,False,False,True,False,False,0.5614457831325301,0.0
False,False,False,False,True,False,False,0.5469879518072289,0.0
False,False,False,False,True,False,False,0.5397590361445783,0.0
False,False,False,False,True,False,False,0.5351807228915662,0.0
False,False,False,False,True,False,False,0.527710843373494,0.0
False,False,False,False,True,False,False,0.5190361445783133,0.0
False,False,False,False,True,False,False,0.5012048192771085,0.0
False,False,False,False,True,False,False,0.4821686746987952,0.0
False,False,False,False,True,False,False,0.4450602409638555,0.0
False,False,False,False,True,False,False,0.436144578313253,0.0
False,False,False,False,True,False,False,0.433734939759036,0.0
False,False,False,False,True,False,False,0.3419277108433735,0.0
False,False,False,False,True,False,False,0.3416867469879517,0.0
