Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Generation,CIFAR-10,StyleSAN-XL,1.36,1.0,,['GAN'],2301.12811v4
Image Generation,CIFAR-10,CTM,1.63,0.9960601196556254,,['Diffusion'],2310.02279v3
Image Generation,CIFAR-10,Discriminator Guidance,1.64,0.9959141981613892,,"['Diffusion', 'Score-based']",2211.17091v4
Image Generation,CIFAR-10,CTM (NFE 1),1.73,0.9946009047132642,,['Diffusion'],2310.02279v3
Image Generation,CIFAR-10,EDM-AOT,1.73,0.9946009047132642,,[],2403.05069v1
Image Generation,CIFAR-10,PFGM++,1.74,0.9944549832190283,,['PFGM'],2302.04265v2
Image Generation,CIFAR-10,SciRE-Solver (with EDM),1.76,0.9941631402305559,,"['Score-based', 'EDM', 'Diffusion']",2308.07896v3
Image Generation,CIFAR-10,Discriminator Guidance (unconditional),1.77,0.9940172187363199,,"['Diffusion', 'Score-based']",2211.17091v4
Image Generation,CIFAR-10,EDM-ES,1.8,0.9935794542536116,,"['Score-based', 'Diffusion']",2308.15321v6
Image Generation,CIFAR-10,StyleGAN-XL,1.85,0.9928498467824312,,['GAN'],2202.00273v2
Image Generation,CIFAR-10,EDM-AOT (unconditional),1.88,0.9924120822997228,,[],2403.05069v1
Image Generation,CIFAR-10,STF (unconditional),1.9,0.9921202393112505,,['Score-based'],2302.00670v2
Image Generation,CIFAR-10,Easy Consistency Tuning (ECT),1.94,0.9915365533343061,,[],2303.01469v2
Image Generation,CIFAR-10,LSGM-G++ (FID),1.94,0.9915365533343061,,"['VAE', 'Diffusion', 'Score-based']",2211.17091v4
Image Generation,CIFAR-10,DiffiT,1.95,0.99139063184007,,[],2312.02139v2
Image Generation,CIFAR-10,DDIM+CS,2.01,0.9905151028746534,,[],2312.06285v1
Image Generation,CIFAR-10,PSLD (ODE),2.1,0.9892018094265286,,"['unconditional', 'Score-based']",2303.01748v2
Image Generation,CIFAR-10,LSGM (FID),2.1,0.9892018094265286,,"['Score-based', 'VAE']",2106.05931v3
Image Generation,CIFAR-10,ADM-ES,2.17,0.9881803589668758,,"['stochatic sampler', 'unconditional', 'Diffusion']",2308.15321v6
Image Generation,CIFAR-10,Subspace Diffusion (NSCN++),2.17,0.9881803589668758,,['Score-based'],2205.01490v2
Image Generation,CIFAR-10,LSGM (balanced),2.17,0.9881803589668758,,"['VAE', 'Score-based']",2106.05931v3
Image Generation,CIFAR-10,NCSN++,2.2,0.9877425944841675,,['Score-based'],2011.13456v2
