Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,CIFAR-100,EffNet-L2 (SAM),96.0,1.0,,[],2010.01412v3
Image Classification,CIFAR-100,Swin-L + ML-Decoder,95.0,0.9836065573770492,,[],2111.12933v2
Image Classification,CIFAR-100,\u00b52Net (ViT-L/16),94.0,0.9672131147540983,,[],2205.12755v6
Image Classification,CIFAR-100,ViT-B-16 (ImageNet-21K-P pretrain),94.0,0.9672131147540983,,['Transformer'],2104.10972v4
Image Classification,CIFAR-100,CvT-W24,94.0,0.9672131147540983,,['Transformer'],2103.15808v1
Image Classification,CIFAR-100,ViT-B/16 (PUGD),93.0,0.9508196721311475,,[],2110.00199v2
Image Classification,CIFAR-100,Heinsen Routing + BEiT-large 16 224,93.0,0.9508196721311475,309.8M,[],2211.11754v3
Image Classification,CIFAR-100,BiT-L (ResNet),93.0,0.9508196721311475,,['ResNet'],1912.11370v3
Image Classification,CIFAR-100,Astroformer,93.0,0.9508196721311475,,[],2304.05350v2
Image Classification,CIFAR-100,VIT-L/16,93.0,0.9508196721311475,,[],2305.03238v3
Image Classification,CIFAR-100,CaiT-M-36 U 224,93.0,0.9508196721311475,,['Transformer'],2103.17239v2
Image Classification,CIFAR-100,ViT-L (attn fine-tune),93.0,0.9508196721311475,,[],2203.09795v1
Image Classification,CIFAR-100,TResNet-L-V2,92.0,0.9344262295081968,,[],2003.13630v3
Image Classification,CIFAR-100,EfficientNetV2-L,92.0,0.9344262295081968,,['EfficientNet'],2104.00298v3
Image Classification,CIFAR-100,EfficientNetV2-M,92.0,0.9344262295081968,,['EfficientNet'],2104.00298v3
Image Classification,CIFAR-100,BiT-M (ResNet),92.0,0.9344262295081968,,['ResNet'],1912.11370v3
Image Classification,CIFAR-100,CeiT-S,91.0,0.9180327868852459,,['Transformer'],2103.11816v2
Image Classification,CIFAR-100,CeiT-S (384 finetune resolution),91.0,0.9180327868852459,,['Transformer'],2103.11816v2
Image Classification,CIFAR-100,EfficientNet-B7,91.0,0.9180327868852459,64M,['EfficientNet'],1905.11946v5
Image Classification,CIFAR-100,EfficientNetV2-S,91.0,0.9180327868852459,,['EfficientNet'],2104.00298v3
Image Classification,CIFAR-100,GPIPE,91.0,0.9180327868852459,,[],1811.06965v5
Image Classification,CIFAR-100,TNT-B,91.0,0.9180327868852459,65.6M,['Transformer'],2103.00112v3
Image Classification,CIFAR-100,DeiT-B,90.0,0.9016393442622951,86M,['Transformer'],2012.12877v2
Image Classification,CIFAR-100,GFNet-H-B,90.0,0.9016393442622951,54M,[],2107.00645v2
Image Classification,CIFAR-100,E2E-3M,90.0,0.9016393442622951,,[],2007.15161v3
Image Classification,CIFAR-100,Bamboo (ViT-B/16),90.0,0.9016393442622951,,[],2203.07845v2
Image Classification,CIFAR-100,PyramidNet-272 (ASAM),89.0,0.8852459016393442,,[],2102.11600v3
Image Classification,CIFAR-100,PyramidNet (SAM),89.0,0.8852459016393442,,[],2010.01412v3
Image Classification,CIFAR-100,DVT (T2T-ViT-24),89.0,0.8852459016393442,,['Transformer'],2105.15075v2
Image Classification,CIFAR-100,ResMLP-24,89.0,0.8852459016393442,,[],2105.03404v2
Image Classification,CIFAR-100,"PyramidNet-272, S=4",89.0,0.8852459016393442,32.8M,[],2011.14660v4
Image Classification,CIFAR-100,CeiT-T,89.0,0.8852459016393442,,['Transformer'],2103.11816v2
Image Classification,CIFAR-100,PyramidNet+ShakeDrop,89.0,0.8852459016393442,,[],1805.09501v3
Image Classification,CIFAR-100,ViT-B/16- SAM,89.0,0.8852459016393442,,['Transformer'],2106.01548v3
Image Classification,CIFAR-100,ConvMLP-M,89.0,0.8852459016393442,,[],2109.04454v2
Image Classification,CIFAR-100,ConvMLP-L,88.0,0.8688524590163934,,[],2109.04454v2
Image Classification,CIFAR-100,ResNet-152x4-AGC (ImageNet-21K),88.0,0.8688524590163934,,[],2106.00116v4
Image Classification,CIFAR-100,ColorNet,88.0,0.8688524590163934,19.0M,[],1902.00267v1
Image Classification,CIFAR-100,PyramidNet+ShakeDrop (Fast AA),88.0,0.8688524590163934,,[],1905.00397v2
Image Classification,CIFAR-100,NAT-M4,88.0,0.8688524590163934,9.0M,[],2005.05859v2
Image Classification,CIFAR-100,CeiT-T (384 finetune resolution),88.0,0.8688524590163934,,['Transformer'],2103.11816v2
Image Classification,CIFAR-100,NAT-M3,87.0,0.8524590163934426,7.8M,[],2005.05859v2
Image Classification,CIFAR-100,ViT-S/16- SAM,87.0,0.8524590163934426,,['Transformer'],2106.01548v3
Image Classification,CIFAR-100,NAT-M2,87.0,0.8524590163934426,6.4M,[],2005.05859v2
Image Classification,CIFAR-100,Dynamics 1,87.0,0.8524590163934426,,[],2205.10456v3
Image Classification,CIFAR-100,"DenseNet-BC-190, S=4",87.0,0.8524590163934426,26.3M,[],2011.14660v4
Image Classification,CIFAR-100,ConvMLP-S,87.0,0.8524590163934426,,[],2109.04454v2
Image Classification,CIFAR-100,ResMLP-12,87.0,0.8524590163934426,,[],2105.03404v2
Image Classification,CIFAR-100,"WRN-40-10, S=4",86.0,0.8360655737704918,,[],2011.14660v4
Image Classification,CIFAR-100,ResNet50 (A1),86.0,0.8360655737704918,25M,[],2110.00476v1
Image Classification,CIFAR-100,WRN-28-10 * 3,86.0,0.8360655737704918,,[],2103.06132v3
Image Classification,CIFAR-100,PyramidNet + AA (AMP),86.0,0.8360655737704918,,[],2010.04925v4
Image Classification,CIFAR-100,PyramidNet-200 + Shakedrop + Cutmix + PS-KD,86.0,0.8360655737704918,,[],2006.12000v3
Image Classification,CIFAR-100,Mixer-B/16- SAM,86.0,0.8360655737704918,,['Transformer'],2106.01548v3
Image Classification,CIFAR-100,PyramidNet-200 + Shakedrop + Cutmix,86.0,0.8360655737704918,,[],1905.04899v2
Image Classification,CIFAR-100,MUXNet-m,86.0,0.8360655737704918,2.1M,[],2003.13880v2
Image Classification,CIFAR-100,NAT-M1,86.0,0.8360655737704918,3.8M,[],2005.05859v2
Image Classification,CIFAR-100,WRN-28-10,85.0,0.819672131147541,,[],2103.06132v3
Image Classification,CIFAR-100,"WRN-28-10, S=4",85.0,0.819672131147541,,[],2011.14660v4
Image Classification,CIFAR-100,PyramidNet,85.0,0.819672131147541,,[],2205.09615v4
Image Classification,CIFAR-100,WRN-28-8 +SAMix,85.0,0.819672131147541,,['ResNet'],2111.15454v3
Image Classification,CIFAR-100,ASANas,85.0,0.819672131147541,,[],1903.06236v1
Image Classification,CIFAR-100,SparseSwin,85.0,0.819672131147541,17.58M,[],2309.05224v1
Image Classification,CIFAR-100,ResNet-50-SAM,85.0,0.819672131147541,,['ResNet'],2106.01548v3
Image Classification,CIFAR-100,WRN-28-8 +AutoMix,85.0,0.819672131147541,,['ResNet'],2103.13027v6
Image Classification,CIFAR-100,WaveMixLite-256/7,85.0,0.819672131147541,,[],2205.14375v5
Image Classification,CIFAR-100,WRN 28-14,85.0,0.819672131147541,,[],2007.12927v4
Image Classification,CIFAR-100,R-Mix (WideResNet 28-10),85.0,0.819672131147541,,[],2212.04875v3
Image Classification,CIFAR-100,EEEA-Net-C (b=5)+ CO,84.0,0.8032786885245902,,[],2108.06156v1
Image Classification,CIFAR-100,RL-Mix (WideResNet 28-10),84.0,0.8032786885245902,,[],2212.04875v3
Image Classification,CIFAR-100,Wide-ResNet-28-10,84.0,0.8032786885245902,,[],2209.15031v2
Image Classification,CIFAR-100,SENet + ShakeEven + Cutout,84.0,0.8032786885245902,,[],1709.01507v4
Image Classification,CIFAR-100,ResNeXt-50(32x4d) + SAMix,84.0,0.8032786885245902,,['ResNet'],2111.15454v3
Image Classification,CIFAR-100,WRN-28-10 with reSGHMC,84.0,0.8032786885245902,,[],2008.05367v3
Image Classification,CIFAR-100,PyramidNet-272 + SWA,84.0,0.8032786885245902,,[],1803.05407v3
Image Classification,CIFAR-100,WRN28-10,84.0,0.8032786885245902,,[],2009.06962v2
Image Classification,CIFAR-100,HCGNet-A3,84.0,0.8032786885245902,11.4M,[],1908.09699v3
Image Classification,CIFAR-100,WideResNet 28-10 + CutMix (OneCycleLR scheduler),83.0,0.7868852459016393,,[],2212.04875v3
Image Classification,CIFAR-100,DenseNet-BC-190 + FMix,83.0,0.7868852459016393,,[],2002.12047v3
Image Classification,CIFAR-100,ORN,83.0,0.7868852459016393,,[],1701.01833v2
Image Classification,CIFAR-100,Grafit (ResNet-50),83.0,0.7868852459016393,,['ResNet'],2011.12982v1
Image Classification,CIFAR-100,ResNeXt-50(32x4d) + AutoMix,83.0,0.7868852459016393,,['ResNet'],2103.13027v6
