Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Object Detection,COCO-O,EVA,57.8,1.0,,[],2211.07636v2
Object Detection,COCO-O,DETA\n(Swin-L),48.5,0.7895927601809956,,[],2212.06137v1
Object Detection,COCO-O,GLIP-L\n(Swin-L),48.0,0.7782805429864253,,[],2112.03857v2
Object Detection,COCO-O,GRiT\n(ViT-H),42.9,0.6628959276018099,,[],2212.00280v1
Object Detection,COCO-O,DINO\n(Swin-L),42.1,0.6447963800904978,,[],2203.03605v4
Object Detection,COCO-O,CBNetV2\n(Swin-L),39.0,0.574660633484163,,[],2107.00420v7
Object Detection,COCO-O,ConvNeXt-XL\n(Cascade Mask R-CNN),37.5,0.5407239819004525,,[],2201.03545v2
Object Detection,COCO-O,InternImage-L (Cascade Mask R-CNN),37.0,0.5294117647058824,,[],2211.05778v4
Object Detection,COCO-O,DyHead\n(Swin-L),35.3,0.49095022624434387,,[],2106.08322v1
Object Detection,COCO-O,ViTDet\n(ViT-H),34.3,0.46832579185520357,,[],2203.16527v2
Object Detection,COCO-O,ViT-Adapter (BEiTv2-L),34.25,0.4671945701357466,,[],2205.08534v4
Object Detection,COCO-O,FIBER-B\n(Swin-B),33.7,0.4547511312217195,,[],2206.07643v2
Object Detection,COCO-O,QueryInst\n(Swin-L),33.2,0.4434389140271494,,[],2105.01928v3
Object Detection,COCO-O,YOLOv6-L6,32.5,0.42760180995475117,,[],2209.02976v1
Object Detection,COCO-O,YOLOv7-E6E,32.0,0.416289592760181,,[],2207.02696v1
Object Detection,COCO-O,MViTV2-H\n(Cascade Mask R-CNN),30.9,0.3914027149321267,,[],2112.01526v2
Object Detection,COCO-O,Det-AdvProp\n(EfficientNet-B5),30.8,0.3891402714932128,,[],2103.13886v2
Object Detection,COCO-O,YOLOv4-P6,30.4,0.38009049773755654,,[],2004.10934v1
Object Detection,COCO-O,YOLOX-X,30.3,0.37782805429864263,,[],2107.08430v2
Object Detection,COCO-O,CenterNet2\n(R2-101-DCN),29.5,0.35972850678733037,,[],2103.07461v1
Object Detection,COCO-O,GLIP-T\n(Swin-T),29.1,0.3506787330316743,,[],2112.03857v2
Object Detection,COCO-O,EfficientDet-D5\n(EfficientNet-B5),28.5,0.33710407239819007,,[],1911.09070v7
Object Detection,COCO-O,PVTv2-B5\n(Mask R-CNN),28.2,0.330316742081448,,[],2106.13797v7
Object Detection,COCO-O,VFNet\n(RX-101-64x4d),28.0,0.32579185520362,,[],2008.13367v2
Object Detection,COCO-O,GCNet\n(RX-101-32x4d-DCN),26.0,0.2805429864253394,,[],1904.11492v1
Object Detection,COCO-O,GFLv2\n(R2-101-DCN),25.1,0.2601809954751132,,[],2011.12885v1
Object Detection,COCO-O,RepPointsV2\n(RX-101-64x4d-DCN),24.9,0.25565610859728505,,[],2007.08508v1
Object Detection,COCO-O,UniverseNet\n(R2-101-DCN),24.8,0.2533936651583711,,[],2103.14027v3
Object Detection,COCO-O,YOLOX-S,20.6,0.15837104072398195,,[],2107.08430v2
Object Detection,COCO-O,YOLOS-B\n(ViT-B),20.0,0.14479638009049775,,[],2106.00666v3
Object Detection,COCO-O,DyHead\n(ResNet-50),19.3,0.1289592760180996,,[],2106.08322v1
Object Detection,COCO-O,HTC\n(ResNet-50),19.1,0.12443438914027155,,[],1901.07518v2
Object Detection,COCO-O,Deformable-DETR\n(ResNet-50),18.5,0.11085972850678735,,[],2010.04159v4
Object Detection,COCO-O,Cascade R-CNN\n(ResNet-50),18.2,0.10407239819004525,,[],1906.09756v1
Object Detection,COCO-O,Mask R-CNN\n(ResNet-50),17.1,0.079185520361991,,[],1703.06870v3
Object Detection,COCO-O,DETR\n(ResNet-50),17.1,0.079185520361991,,[],2005.12872v3
Object Detection,COCO-O,ATSS\n(ResNet-50),16.8,0.0723981900452489,,[],1912.02424v4
Object Detection,COCO-O,FCOS\n(ResNet-50),16.7,0.07013574660633484,,[],1904.01355v5
Object Detection,COCO-O,RetinaNet\n(ResNet-50),16.6,0.06787330316742086,,[],1708.02002v2
Object Detection,COCO-O,Faster R-CNN\n(ResNet-50-FPN),16.4,0.06334841628959274,,[],1506.01497v3
Object Detection,COCO-O,YOLOv3\n(DarkNet-53),14.8,0.027149321266968354,,[],1804.02767v1
Object Detection,COCO-O,SSD (VGG-16),13.6,0.0,,[],1512.02325v5
