Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Text to Image,COCO,Parti Finetuned,3.22,1.0,,['Autoregressive'],2206.10789v1
Text to Image,COCO,CM3Leon-7B,4.88,0.9765636029930821,,['Autoregressive'],2309.02591v1
Text to Image,COCO,Re-Imagen (Finetuned),5.25,0.9713398277566003,,['Diffusion'],2209.14491v3
Text to Image,COCO,U-ViT-S/2-Deep,5.48,0.9680926161231116,,[],2209.12152v4
Text to Image,COCO,"GLIGEN (fine-tuned, Detection + Caption data)",5.61,0.9662572356346181,,[],2301.07093v2
Text to Image,COCO,"GLIGEN (fine-tuned, Detection data only)",5.82,0.9632923902301284,,[],2301.07093v2
Text to Image,COCO,U-ViT-S/2,5.95,0.9614570097416348,,[],2209.12152v4
Text to Image,COCO,ConPreDiff,6.21,0.9577862487646478,,[],2401.02015v1
Text to Image,COCO,TLDM,6.29,0.9566567838486516,,[],2202.09671v4
Text to Image,COCO,"GLIGEN (fine-tuned, Grounding data)",6.38,0.9553861358181562,,[],2301.07093v2
Text to Image,COCO,RAPHAEL (zero-shot),6.61,0.9521389241846675,,[],2305.18295v5
Text to Image,COCO,ERNIE-ViLG 2.0 (zero-shot),6.75,0.9501623605816745,,[],2210.15257v2
Text to Image,COCO,Re-Imagen,6.88,0.948326980093181,,[],2209.14491v3
Text to Image,COCO,eDiff-I (zero-shot),6.95,0.9473386982916843,,[],2211.01324v5
Text to Image,COCO,Swinv2-Imagen,7.21,0.9436679373146972,,[],2210.09549v1
Text to Image,COCO,Parti,7.23,0.9433855710856981,,"['Autoregressive', 'zero-shot']",2206.10789v1
Text to Image,COCO,Imagen (zero-shot),7.27,0.9428208386277002,,"['Diffusion', 'zero-shot']",2205.11487v1
Text to Image,COCO,"GigaGAN (Zero-shot, 64x64)",7.28,0.9426796555132005,,[],2303.05511v2
Text to Image,COCO,"StyleGAN-T (Zero-shot, 64x64)",7.3,0.9423972892842016,,[],2301.09515v1
Text to Image,COCO,Make-a-Scene (unfiltered),7.55,0.938867711421714,,['Autoregressive'],2203.13131v1
Text to Image,COCO,Kandinsky,8.03,0.9320909219257376,,[],2310.03502v1
Text to Image,COCO,Lafite,8.12,0.930820273895242,,['GAN'],2111.13792v3
Text to Image,COCO,simple diffusion (U-ViT),8.3,0.9282789778342511,,[],2301.11093v2
Text to Image,COCO,"GigaGAN (Zero-shot, 256x256)",9.09,0.91712551178879,,[],2303.05511v2
Text to Image,COCO,XMC-GAN (256 x 256),9.3,0.9141606663843005,,[],2111.12417v1
Text to Image,COCO,XMC-GAN,9.33,0.913737117040802,,['GAN'],2101.04702v5
Text to Image,COCO,DALL-E 2,10.39,0.8987717069038542,,"['Diffusion', 'zero-shot']",2204.06125v1
Text to Image,COCO,Corgi-Semi,10.6,0.8958068614993646,,"['semi-supervised', 'zero-shot']",2211.15388v2
Text to Image,COCO,Corgi,10.88,0.8918537342933784,,['zero-shot'],2211.15388v2
