Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,Vitab1k,ALIGN (50 hypers/task),79.99,0.0,,[],2102.05918v2
Image Classification,Vitab1k,BiT-L (50 hypers/task),78.72,0.025923657889365,,[],1912.11370v3
Image Classification,Vitab1k,ViT-G/14,78.29,0.0347009593794649,,['Transformer'],2106.04560v2
Image Classification,Vitab1k,PVP(VIT-Base),78.02,0.0402122882220861,,[],2304.13639v1
Image Classification,Vitab1k,ExpertEnsembles R101,77.6,0.0487854664217187,,[],2010.06866v2
Image Classification,Vitab1k,BiT-L,76.3,0.0753214941824861,,[],1912.11370v3
Image Classification,Vitab1k,S4L-Exemplar-ResNet50-LargeHyperSweep,72.7,0.1488058787507653,,['ResNet'],1910.04867v2
Image Classification,Vitab1k,ScalableExperts (I21k+JFT),72.3,0.1569708103694631,,[],2009.13239v1
Image Classification,Vitab1k,S4L-Rotation-ResNet50-LargeHyperSweep,71.5,0.1733006736068584,,['ResNet'],1910.04867v2
Image Classification,Vitab1k,ImageNet-ResNet50-LargeHyperSweep,71.2,0.1794243723208816,,['ResNet'],1910.04867v2
Image Classification,Vitab1k,BiT-M,70.6,0.1916717697489283,,[],1912.11370v3
Image Classification,Vitab1k,VIVI-Ex4-Co,70.4,0.195754235558277,,[],1912.02783v2
Image Classification,Vitab1k,S4L-Rotation-ResNet50,67.5,0.2549499897938354,,[],1910.04867v2
Image Classification,Vitab1k,S4L-Exemplar-ResNet50,67.0,0.2651561543172075,,[],1910.04867v2
Image Classification,Vitab1k,BiT-S,66.9,0.2671973872218818,,[],1912.11370v3
Image Classification,Vitab1k,ImageNet-ResNet50,65.6,0.2937334149826495,,['ResNet'],1910.04867v2
Image Classification,Vitab1k,S4L-10%-Rotation-ResNet50,64.8,0.3100632782200448,,[],1910.04867v2
Image Classification,Vitab1k,S4L-10%-Exemplar-ResNet50,63.9,0.3284343743621147,,[],1910.04867v2
Image Classification,Vitab1k,ImageNet-10%-ResNet50,61.6,0.3753827311696263,,[],1910.04867v2
Image Classification,Vitab1k,SelfSup-Rotation-ResNet50,59.5,0.4182486221677893,,[],1910.04867v2
Image Classification,Vitab1k,ResNet50-LargeHyperSweep,59.2,0.4243723208818125,,['ResNet'],1910.04867v2
Image Classification,Vitab1k,BigBiGAN-ResNet50,59.1,0.4264135537864869,,[],1910.04867v2
Image Classification,Vitab1k,UpperCaSE-EfficientNetB0,58.4,0.440702184119208,,[],2206.09843v3
Image Classification,Vitab1k,SelfSup-Exemplar-ResNet50,57.5,0.4590732802612777,,[],1910.04867v2
Image Classification,Vitab1k,UpperCaSE-ResNet50,56.6,0.4774443764033475,,[],2206.09843v3
Image Classification,Vitab1k,SelfSup-Jigsaw-ResNet50,51.1,0.5897121861604409,,[],1910.04867v2
Image Classification,Vitab1k,SelfSup-RelativePatchLoc-ResNet50,50.8,0.5958358848744642,,[],1910.04867v2
Image Classification,Vitab1k,Unconditional-BigGAN-ResNet50,44.0,0.7346397223923249,,[],1910.04867v2
Image Classification,Vitab1k,ResNet50,42.1,0.773423147581139,,['ResNet'],1910.04867v2
Image Classification,Vitab1k,VAE,37.5,0.8673198611961624,,[],1910.04867v2
Image Classification,Vitab1k,WAE-MMD,37.3,0.8714023270055113,,[],1910.04867v2
Image Classification,Vitab1k,Conditional-BigGAN,35.3,0.9122269850989998,,[],1910.04867v2
Image Classification,Vitab1k,WAE-GAN,32.0,0.9795876709532556,,[],1910.04867v2
Image Classification,Vitab1k,WAE-UKL,31.0,1.0,,[],1910.04867v2
Image Classification,Tiny Imagenet,Astroformer,92.98,0.0,,[],2304.05350v2
Image Classification,Tiny Imagenet,DeiT-B/16-D + OCD(5),92.0,0.0225702441271304,,[],2210.00471v5
Image Classification,Tiny Imagenet,SwinV2-B + GradMatch,91.9,0.0248733302625517,,[],2303.02095v2
Image Classification,Tiny Imagenet,Swin-L,91.35,0.03754030400737,,[],2205.10660v1
Image Classification,Tiny Imagenet,DeiT-B/16 (PUGD),91.02,0.0451404882542608,,[],2110.00199v2
Image Classification,Tiny Imagenet,DeiT-B/16-D + OCD,90.8,0.050207277752188,,[],2210.00471v5
Image Classification,Tiny Imagenet,ViT-B/16 (PUGD),90.74,0.051589129433441,,[],2110.00199v2
Image Classification,Tiny Imagenet,EfficientNet-B1+DCL,84.39,0.1978350990327038,,['EfficientNet'],1912.08136v2
Image Classification,Tiny Imagenet,WaveMixLite-144/7,77.47,0.3572086596038692,,[],2205.14375v5
Image Classification,Tiny Imagenet,ResNeXt-50 (SAMix),72.18,0.4790419161676645,,['ResNet'],2111.15454v3
Image Classification,Tiny Imagenet,ResNeXt-50 (AutoMix),70.72,0.5126669737448182,,['ResNet'],2103.13027v6
Image Classification,Tiny Imagenet,PreActResNet-18-3,70.24,0.5237217871948413,,['ResNet'],2103.06132v3
Image Classification,Tiny Imagenet,ResNet18 (SAMix),68.89,0.554813450023031,,['ResNet'],2111.15454v3
Image Classification,Tiny Imagenet,UPANets,67.67,0.5829111008751727,,[],2103.08640v2
Image Classification,Tiny Imagenet,ResNet18 (AutoMix),67.33,0.5907415937356059,,['ResNet'],2103.13027v6
Image Classification,Tiny Imagenet,DenseNet + Residual Networks,60.0,0.7595578074619992,,[],1904.10429v2
Image Classification,Tiny Imagenet,Convolutional Nystromformer for Vision (CNV),49.56,1.0,,[],2201.10271v1
Image Classification,STL-10,VIT-L/16 (Spinal FC),99.71,0.0,,[],2305.03238v4
Image Classification,STL-10,\u00b52Net+ (ViT-L/16),99.64,0.0016509433962262,,[],2209.07326v3
Image Classification,STL-10,kNN-CLIP,99.6,0.0025943396226414,,"['Memory-Centric', 'CLIP Pre-trained']",2204.01186v2
Image Classification,STL-10,Wide-ResNet-101 (Spinal FC),98.66,0.0247641509433961,,[],2007.03347v3
Image Classification,STL-10,NAT-M4,97.9,0.0426886792452827,7.5M,[],2005.05859v2
Image Classification,STL-10,NAT-M3,97.8,0.0450471698113206,7.5M,[],2005.05859v2
Image Classification,STL-10,SEER (RegNet10B),97.3,0.0568396226415093,10000M,"['IG-1B', 'Self-Supervised Learning', 'RegNet']",2202.08360v2
Image Classification,STL-10,NAT-M2,97.2,0.0591981132075469,5.1M,[],2005.05859v2
Image Classification,STL-10,NAT-M1,96.7,0.0709905660377356,4.4M,[],2005.05859v2
Image Classification,STL-10,EnAET,95.48,0.099764150943396,,[],1911.09265v2
Image Classification,STL-10,VGG-19bn,95.44,0.1007075471698112,,[],2007.03347v3
Image Classification,STL-10,Diffusion Classifier (zero-shot),95.4,0.1016509433962261,,[],2303.16203v3
Image Classification,STL-10,FixMatch (CTA),94.83,0.1150943396226414,,[],2001.07685
Image Classification,STL-10,ReMixMatch,94.77,0.1165094339622641,,[],2001.07685
Image Classification,STL-10,AMDIM,94.5,0.1228773584905659,,[],1906.00910v2
Image Classification,STL-10,MixMatch,94.41,0.1249999999999999,,[],1905.02249v2
Image Classification,STL-10,ReMixMatch (K=4),93.82,0.1389150943396226,,[],1911.09785v2
Image Classification,STL-10,AMDIM,93.8,0.1393867924528301,,[],2009.00104v1
Image Classification,STL-10,ReMixMatch (K=1),93.23,0.152830188679245,,[],1911.09785v2
Image Classification,STL-10,MP*,93.19,0.1537735849056603,,[],2007.01472v1
Image Classification,STL-10,UDA,92.34,0.1738207547169809,,[],2001.07685
Image Classification,STL-10,YADIM,92.15,0.1783018867924526,,[],2009.00104v1
Image Classification,STL-10,FixMatch (RA),92.02,0.1813679245283018,,[],2001.07685
Image Classification,STL-10,NSGANetV2,92.0,0.1818396226415093,,[],2007.10396v1
Image Classification,STL-10,SESN,91.49,0.1938679245283019,,[],1910.11093v2
