Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Text-to-Image,CUB,TLDM,6.72,1.0,,[],2202.09671v4
Text-to-Image,CUB,Swinv2-Imagen,9.78,0.9494214876033058,,[],2210.09549v1
Text-to-Image,CUB,GALIP,10.08,0.9444628099173554,,[],2301.12959v1
Text-to-Image,CUB,RAT-GAN,10.21,0.9423140495867768,,[],2204.10482v1
Text-to-Image,CUB,VQ-Diffusion-F,10.32,0.9404958677685951,,[],2111.14822v3
Text-to-Image,CUB,Lafite,10.48,0.9378512396694214,,[],2111.13792v3
Text-to-Image,CUB,VQ-Diffusion-B,11.94,0.9137190082644628,,[],2111.14822v3
Text-to-Image,CUB,VQ-Diffusion-S,12.97,0.8966942148760331,,[],2111.14822v3
Text-to-Image,CUB,DM-GAN+CL,14.38,0.8733884297520661,,[],2107.02423v2
Text-to-Image,CUB,StackGAN-v2,15.3,0.8581818181818182,,[],1710.10916v3
Text-to-Image,CUB,AttnGAN+CL,16.34,0.84099173553719,,[],2107.02423v2
Text-to-Image,CUB,StackGAN-v1,51.89,0.2533884297520661,,[],1710.10916v3
Text-to-Image,CUB,GAWWN,67.22,0.0,,[],1610.02454v1
