Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Generation,FFHQ 256x256,StyleSAN-XL,1.68,1.0,,['GAN'],2301.12811v4
Image Generation,FFHQ 256x256,StyleNAT,2.05,0.9888554216867471,,"['GAN', 'Transformer', 'Neighborhood Attention']",2211.05770v2
Image Generation,FFHQ 256x256,StyleGAN-XL,2.19,0.9846385542168675,,[],2202.00273v2
Image Generation,FFHQ 256x256,HiT-L,2.58,0.9728915662650602,,['Transformer'],2106.07631v3
Image Generation,FFHQ 256x256,Poly-INR,2.72,0.9686746987951808,,[],2303.11424v1
Image Generation,FFHQ 256x256,StyleSwin,2.81,0.9659638554216867,,"['Transformer', 'Swin-Transformer']",2112.10762v2
Image Generation,FFHQ 256x256,HiT-B,2.95,0.9617469879518072,,['Transformer'],2106.07631v3
Image Generation,FFHQ 256x256,HiT-S,3.06,0.958433734939759,,['Transformer'],2106.07631v3
Image Generation,FFHQ 256x256,InsGen,3.31,0.9509036144578313,,[],2106.04566v1
Image Generation,FFHQ 256x256,Anycost GAN,3.35,0.9496987951807229,,[],2103.03243v1
Image Generation,FFHQ 256x256,Projected-GAN (Official),3.39,0.9484939759036144,,[],2111.01007v1
Image Generation,FFHQ 256x256,LeCAM (StyleGAN2 + ADA),3.49,0.9454819277108433,,[],2104.03310v1
Image Generation,FFHQ 256x256,StyleGAN2 + ADA,3.62,0.9415662650602409,,[],2006.06676v2
Image Generation,FFHQ 256x256,CIPS,4.38,0.9186746987951807,,[],2011.13775v1
Image Generation,FFHQ 256x256,LFM,4.55,0.9135542168674698,,[],2307.08698v1
Image Generation,FFHQ 256x256,INR-GAN-bil,4.95,0.9015060240963856,,[],2011.12026v2
Image Generation,FFHQ 256x256,SWAGAN-Bi,5.22,0.8933734939759036,,[],2102.06108v1
Image Generation,FFHQ 256x256,UDM (RVE) + ST,5.54,0.8837349397590362,,[],2106.05527v5
Image Generation,FFHQ 256x256,Unleashing Transformers,6.11,0.866566265060241,,[],2111.12701v1
Image Generation,FFHQ 256x256,GANFormer,7.42,0.8271084337349397,,[],2103.01209v4
Image Generation,FFHQ 256x256,U-Net GAN,7.48,0.8253012048192772,,[],2002.12655v2
Image Generation,FFHQ 256x256,VQGAN+Transformer,9.6,0.7614457831325301,,[],2012.09841v3
Image Generation,FFHQ 256x256,BigGAN,11.48,0.7048192771084337,,[],2002.12655v2
Image Generation,FFHQ 256x256,VE (erel=0.01),15.67,0.5786144578313253,,[],2105.14080v1
Image Generation,FFHQ 256x256,VE (erel=0.02),15.67,0.5786144578313253,,[],2105.14080v1
Image Generation,FFHQ 256x256,Efficient-VDVAE,34.88,0.0,,['VAE'],2203.13751v2
