Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,iNaturalist 2018,OmniVec,93.8,1.0,,[],2311.05709v1
Image Classification,iNaturalist 2018,InternImage-H,92.6,0.974630021141649,,[],2211.05778v4
Image Classification,iNaturalist 2018,MAWS (ViT-2B),91.3,0.9471458773784355,,[],2303.13496v3
Image Classification,iNaturalist 2018,"MetaFormer\n(MetaFormer-2,384,extra_info)",88.7,0.8921775898520086,,[],2203.02751v1
Image Classification,iNaturalist 2018,Hiera-H (448px),87.3,0.8625792811839323,,[],2306.00989v1
Image Classification,iNaturalist 2018,"MAE (ViT-H, 448)",86.8,0.8520084566596194,,[],2111.06377v2
Image Classification,iNaturalist 2018,SWAG (ViT H/14),86.0,0.8350951374207188,,[],2201.08371v2
Image Classification,iNaturalist 2018,SEER (RegNet10B - finetuned - 384px),84.7,0.8076109936575054,,"['IG-1B', 'RegNet']",2202.08360v2
Image Classification,iNaturalist 2018,"MetaFormer\n(MetaFormer-2,384)",84.3,0.7991543340380549,,[],2203.02751v1
Image Classification,iNaturalist 2018,OMNIVORE (Swin-L),84.1,0.7949260042283297,,[],2201.08377v2
Image Classification,iNaturalist 2018,RegNet-8GF,81.2,0.7336152219873151,,[],2011.12982v1
Image Classification,iNaturalist 2018,VL-LTR (ViT-B-16),81.0,0.7293868921775899,,[],2111.13579v4
Image Classification,iNaturalist 2018,\u00b52Net+ (ViT-L/16),80.97,0.728752642706131,,[],2209.07326v3
Image Classification,iNaturalist 2018,MixMIM-L,80.3,0.7145877378435518,,[],2205.13137v4
Image Classification,iNaturalist 2018,DeiT-B,79.5,0.6976744186046512,,[],2012.12877v2
Image Classification,iNaturalist 2018,CeiT-S (384 finetune resolution),79.4,0.6955602536997888,,[],2103.11816v2
Image Classification,iNaturalist 2018,GPaCo (ResNet-152),78.1,0.668076109936575,,[],2209.12400v2
Image Classification,iNaturalist 2018,CaiT-M-36 U 224,78.0,0.6659619450317125,,[],2103.17239v2
Image Classification,iNaturalist 2018,MixMIM-B,77.5,0.6553911205073997,,[],2205.13137v4
Image Classification,iNaturalist 2018,GPaCo (ResNet-50),75.4,0.6109936575052856,,[],2209.12400v2
Image Classification,iNaturalist 2018,CBD-ENS (ResNet-101),75.3,0.6088794926004228,,[],2104.05279v2
Image Classification,iNaturalist 2018,ViT-L (attn finetune),75.3,0.6088794926004228,,[],2203.09795v1
Image Classification,iNaturalist 2018,PaCo(ResNet-152),75.2,0.6067653276955604,,['ResNet'],2107.12028v2
Image Classification,iNaturalist 2018,VL-LTR (ResNet-50),74.6,0.5940803382663847,,[],2111.13579v4
Image Classification,iNaturalist 2018,BS-CMO (ResNet-50),74.0,0.5813953488372093,,['ResNet-50'],2112.00412v3
Image Classification,iNaturalist 2018,CBD-ENS (ResNet-50),73.6,0.5729386892177589,,[],2104.05279v2
Image Classification,iNaturalist 2018,CeiT-S,73.3,0.5665961945031712,,[],2103.11816v2
Image Classification,iNaturalist 2018,TADE (ResNet-50),72.9,0.558139534883721,,['ResNet'],2107.09249v4
Image Classification,iNaturalist 2018,CeiT-T (384 finetune resolution),72.2,0.5433403805496829,,[],2103.11816v2
Image Classification,iNaturalist 2018,RIDE (ResNet-50),72.2,0.5433403805496829,,['ResNet'],2010.01809v4
Image Classification,iNaturalist 2018,ResNeXt-101 (SAMix),70.54,0.5082452431289642,,['ResNet'],2111.15454v3
Image Classification,iNaturalist 2018,ResNeXt-101 (AutoMix),70.49,0.5071881606765327,,['ResNet'],2103.13027v6
Image Classification,iNaturalist 2018,LADE,70.0,0.49682875264270615,,['ResNet'],2012.00321v2
Image Classification,iNaturalist 2018,ResNet-50,69.8,0.49260042283298094,,['ResNet'],2011.12982v1
Image Classification,iNaturalist 2018,ResNet-152,69.08,0.4773784355179704,,['ResNet'],2008.03673v1
Image Classification,iNaturalist 2018,ResNet-152,69.05,0.4767441860465116,,['ResNet'],1901.05555v1
Image Classification,iNaturalist 2018,MetaSAug,68.75,0.47040169133192394,,[],2103.12579v3
Image Classification,iNaturalist 2018,ResNet-101,68.39,0.46279069767441866,,['ResNet'],2008.03673v1
Image Classification,iNaturalist 2018,ResNet-101,67.98,0.45412262156448213,,['ResNet'],1901.05555v1
Image Classification,iNaturalist 2018,LeViT-384,66.9,0.43128964059196634,,[],2104.01136v2
Image Classification,iNaturalist 2018,LeViT-256,66.2,0.4164904862579282,,[],2104.01136v2
Image Classification,iNaturalist 2018,ResNet-50,65.91,0.4103594080338266,,['ResNet'],2008.03673v1
Image Classification,iNaturalist 2018,ResNet-50 (SAMix),64.84,0.38773784355179713,,['ResNet'],2111.15454v3
Image Classification,iNaturalist 2018,ResNet-50 (AutoMix),64.73,0.3854122621564483,,['ResNet'],2103.13027v6
Image Classification,iNaturalist 2018,CeiT-T,64.3,0.3763213530655391,,[],2103.11816v2
Image Classification,iNaturalist 2018,ResMLP-24,64.3,0.3763213530655391,,[],2105.03404v2
Image Classification,iNaturalist 2018,ResNet-50,64.16,0.3733615221987315,,['ResNet'],1901.05555v1
Image Classification,iNaturalist 2018,LeViT-192,60.4,0.2938689217758985,,[],2104.01136v2
Image Classification,iNaturalist 2018,Inception-V3,60.2,0.2896405919661734,,[],1707.06642v2
Image Classification,iNaturalist 2018,ResMLP-12,60.2,0.2896405919661734,,[],2105.03404v2
Image Classification,iNaturalist 2018,LeViT-128S,55.2,0.18393234672304448,,[],2104.01136v2
Image Classification,iNaturalist 2018,LeViT-128,54.0,0.15856236786469347,,[],2104.01136v2
Image Classification,iNaturalist 2018,ResNet-50,49.7,0.0676532769556026,,['ResNet'],1912.03330v1
Image Classification,iNaturalist 2018,ResNet-50,48.6,0.044397463002114196,,['ResNet'],2006.09882v5
Image Classification,iNaturalist 2018,Barlow Twins (ResNet-50),46.5,0.0,,['ResNet'],2103.03230v3
