Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Depth Estimation,KITTI,FutureDepth,0.041,1.0,,[],2403.12953v1
Depth Estimation,KITTI,UniDepth (Zero-shot),0.042,0.993421052631579,,[],2403.18913v1
Depth Estimation,KITTI,SQLdepth (ConvNeXt-L),0.043,0.9868421052631581,,[],2309.00526v1
Depth Estimation,KITTI,AFNet,0.044,0.9802631578947371,,[],2403.07535v1
Depth Estimation,KITTI,Depth Anything,0.046,0.9671052631578949,,[],2401.10891v2
Depth Estimation,KITTI,MetaPrompt-SD,0.047,0.9605263157894738,,[],2312.14733v1
Depth Estimation,KITTI,ECoDepth,0.048,0.9539473684210528,,[],2403.18807v3
Depth Estimation,KITTI,EVP,0.048,0.9539473684210528,,[],2312.08548v1
Depth Estimation,KITTI,GEDepth,0.048,0.9539473684210528,,[],2309.09975v1
Depth Estimation,KITTI,MAMo,0.049,0.9473684210526317,,[],2307.14336v2
Depth Estimation,KITTI,SwinV2-L 1K-MIM,0.05,0.9407894736842106,,[],2205.13543v2
Depth Estimation,KITTI,IEBins,0.05,0.9407894736842106,,[],2309.14137v1
Depth Estimation,KITTI,NDDepth,0.05,0.9407894736842106,,[],2309.10592v2
Depth Estimation,KITTI,URCDC-Depth,0.05,0.9407894736842106,,[],2302.08149v2
Depth Estimation,KITTI,iDisc,0.05,0.9407894736842106,,[],2304.06334v1
Depth Estimation,KITTI,"DDP (Swin-L, step-3)",0.05,0.9407894736842106,,[],2303.17559v2
Depth Estimation,KITTI,PixelFormer,0.051,0.9342105263157896,,[],2210.09071v1
Depth Estimation,KITTI,SwinV2-B 1K-MIM,0.052,0.9276315789473686,,[],2205.13543v2
Depth Estimation,KITTI,BinsFormer,0.052,0.9276315789473686,,[],2204.00987v1
Depth Estimation,KITTI,NeWCRFs,0.052,0.9276315789473686,,[],2203.01502v2
Depth Estimation,KITTI,DepthFormer,0.052,0.9276315789473686,,[],2203.14211v1
Depth Estimation,KITTI,MonoDELSNet,0.053,0.9210526315789475,,[],2103.12209v3
Depth Estimation,KITTI,SfM-Revisited,0.055,0.9078947368421053,,[],2104.00556v1
Depth Estimation,KITTI,GLPDepth,0.057,0.8947368421052633,,[],2201.07436v3
Depth Estimation,KITTI,NVS-MonoDepth,0.057,0.8947368421052633,,[],2112.12577v1
Depth Estimation,KITTI,Depthformer,0.058,0.8881578947368421,,[],2207.04535v2
Depth Estimation,KITTI,AdaBins,0.058,0.8881578947368421,,[],2011.14141v1
Depth Estimation,KITTI,Metric3D (zero-shot),0.058,0.8881578947368421,,[],2307.10984v1
Depth Estimation,KITTI,DPT-Hybrid,0.062,0.861842105263158,,[],2103.13413v1
Depth Estimation,KITTI,BTS,0.064,0.8486842105263158,,[],1907.10326v6
Depth Estimation,KITTI,"DINOv2 (ViT-g/14 frozen, w/ DPT decoder)",0.0652,0.8407894736842108,,[],2304.07193v2
Depth Estimation,KITTI,LightDepth,0.07,0.8092105263157895,,[],2211.08608v2
Depth Estimation,KITTI,DORN,0.072,0.7960526315789475,,[],1806.02446v1
Depth Estimation,KITTI,VNL,0.072,0.7960526315789475,,[],1907.12209v2
Depth Estimation,KITTI,DSN,0.075,0.7763157894736843,,[],2010.06626v2
Depth Estimation,KITTI,VOMonodepth,0.091,0.6710526315789475,,[],1908.03127v2
Depth Estimation,KITTI,DenseDepth,0.093,0.6578947368421053,,[],1812.11941v2
Depth Estimation,KITTI,SVS,0.094,0.6513157894736843,,[],1803.02612v2
Depth Estimation,KITTI,monoResMatch,0.096,0.6381578947368421,,[],1904.04144v1
Depth Estimation,KITTI,SemiDepth,0.096,0.6381578947368421,,[],1905.07542v1
Depth Estimation,KITTI,CFA,0.096,0.6381578947368421,,[],1803.08018v2
Depth Estimation,KITTI,Depth Hints,0.096,0.6381578947368421,,[],1909.09051v1
Depth Estimation,KITTI,SOM,0.097,0.6315789473684211,,[],1909.04594v1
Depth Estimation,KITTI,Marigold,0.099,0.618421052631579,,[],2312.02145v2
Depth Estimation,KITTI,GCNDepth,0.104,0.5855263157894738,,[],2112.06782v1
Depth Estimation,KITTI,monodepth2 M,0.106,0.5723684210526316,,[],1806.01260v4
Depth Estimation,KITTI,DeepLabV3+ (F10),0.11,0.5460526315789475,,[],2001.05036v1
Depth Estimation,KITTI,DiPE,0.112,0.5328947368421053,,[],2003.01360v3
Depth Estimation,KITTI,DNet,0.113,0.5263157894736842,,[],2004.05560v2
Depth Estimation,KITTI,LSIM,0.113,0.5263157894736842,,[],1905.00401v1
Depth Estimation,KITTI,SC-Depth (ResNet 50),0.114,0.5197368421052632,,[],2105.11610v1
Depth Estimation,KITTI,SC-Depth (ResNet18),0.119,0.48684210526315796,,[],2105.11610v1
Depth Estimation,KITTI,PackNet-SfM,0.12,0.4802631578947369,,[],1905.02693v4
Depth Estimation,KITTI,3Net,0.126,0.44078947368421056,,[],1808.01606v1
Depth Estimation,KITTI,SC-SfMLearner_CS+K,0.128,0.4276315789473685,,[],1908.10553v2
Depth Estimation,KITTI,SelfDepthNorm,0.133,0.39473684210526316,,[],1903.00112v1
Depth Estimation,KITTI,SIGNet,0.133,0.39473684210526316,,[],1812.05642v2
Depth Estimation,KITTI,struct2depth,0.135,0.381578947368421,,[],1811.06152v1
Depth Estimation,KITTI,SC-SfMLearner,0.137,0.3684210526315789,,[],1908.10553v2
