Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,VITAB1k,ALIGN (50 hypers/task),79.99,1.0,,[],2102.05918v2
Image Classification,VITAB1k,BiT-L (50 hypers/task),78.72,0.9740763421106349,,[],1912.11370v3
Image Classification,VITAB1k,ViT-G/14,78.29,0.9652990406205351,,['Transformer'],2106.04560v2
Image Classification,VITAB1k,PVP(VIT-Base),78.02,0.9597877117779139,,[],2304.13639v1
Image Classification,VITAB1k,ExpertEnsembles R101,77.6,0.9512145335782812,,[],2010.06866v2
Image Classification,VITAB1k,BiT-L,76.3,0.9246785058175138,,[],1912.11370v3
Image Classification,VITAB1k,S4L-Exemplar-ResNet50-LargeHyperSweep,72.7,0.8511941212492347,,['ResNet'],1910.04867v2
Image Classification,VITAB1k,ScalableExperts (I21k+JFT),72.3,0.8430291896305369,,[],2009.13239v1
Image Classification,VITAB1k,S4L-Rotation-ResNet50-LargeHyperSweep,71.5,0.8266993263931416,,['ResNet'],1910.04867v2
Image Classification,VITAB1k,ImageNet-ResNet50-LargeHyperSweep,71.2,0.8205756276791183,,['ResNet'],1910.04867v2
Image Classification,VITAB1k,BiT-M,70.6,0.8083282302510716,,[],1912.11370v3
Image Classification,VITAB1k,VIVI-Ex4-Co,70.4,0.804245764441723,,[],1912.02783v2
Image Classification,VITAB1k,S4L-Rotation-ResNet50,67.5,0.7450500102061646,,[],1910.04867v2
Image Classification,VITAB1k,S4L-Exemplar-ResNet50,67.0,0.7348438456827925,,[],1910.04867v2
Image Classification,VITAB1k,BiT-S,66.9,0.7328026127781182,,[],1912.11370v3
Image Classification,VITAB1k,ImageNet-ResNet50,65.6,0.7062665850173504,,['ResNet'],1910.04867v2
Image Classification,VITAB1k,S4L-10%-Rotation-ResNet50,64.8,0.6899367217799551,,[],1910.04867v2
Image Classification,VITAB1k,S4L-10%-Exemplar-ResNet50,63.9,0.6715656256378854,,[],1910.04867v2
Image Classification,VITAB1k,ImageNet-10%-ResNet50,61.6,0.6246172688303736,,[],1910.04867v2
Image Classification,VITAB1k,SelfSup-Rotation-ResNet50,59.5,0.5817513778322108,,[],1910.04867v2
Image Classification,VITAB1k,ResNet50-LargeHyperSweep,59.2,0.5756276791181875,,['ResNet'],1910.04867v2
Image Classification,VITAB1k,BigBiGAN-ResNet50,59.1,0.5735864462135131,,[],1910.04867v2
Image Classification,VITAB1k,UpperCaSE-EfficientNetB0,58.4,0.5592978158807921,,[],2206.09843v3
Image Classification,VITAB1k,SelfSup-Exemplar-ResNet50,57.5,0.5409267197387222,,[],1910.04867v2
Image Classification,VITAB1k,UpperCaSE-ResNet50,56.6,0.5225556235966524,,[],2206.09843v3
Image Classification,VITAB1k,SelfSup-Jigsaw-ResNet50,51.1,0.41028781383955915,,[],1910.04867v2
Image Classification,VITAB1k,SelfSup-RelativePatchLoc-ResNet50,50.8,0.4041641151255358,,[],1910.04867v2
Image Classification,VITAB1k,Unconditional-BigGAN-ResNet50,44.0,0.26536027760767505,,[],1910.04867v2
Image Classification,VITAB1k,ResNet50,42.1,0.22657685241886105,,['ResNet'],1910.04867v2
Image Classification,VITAB1k,VAE,37.5,0.13268013880383753,,[],1910.04867v2
Image Classification,VITAB1k,WAE-MMD,37.3,0.12859767299448863,,[],1910.04867v2
Image Classification,VITAB1k,Conditional-BigGAN,35.3,0.08777301490100016,,[],1910.04867v2
Image Classification,VITAB1k,WAE-GAN,32.0,0.020412329046744237,,[],1910.04867v2
Image Classification,VITAB1k,WAE-UKL,31.0,0.0,,[],1910.04867v2
