name|accuracy|params|tags|id
EffNet-L2 (SAM)|96.08|null|[']']|2010.01412v3
Swin-L + ML-Decoder|95.1|null|[']']|2111.12933v2
\u00b52Net (ViT-L/16)|94.95|null|[']']|2205.12755v6
ViT-B-16 (ImageNet-21K-P pretrain)|94.2|null|['Transformer']|2104.10972v4
CvT-W24|94.09|null|['Transformer']|2103.15808v1
ViT-B/16 (PUGD)|93.95%|null|[']']|2110.00199v2
Heinsen Routing + BEiT-large 16 224|93.8%|309.8M|[']']|2211.11754v3
BiT-L (ResNet)|93.51|null|['ResNet']|1912.11370v3
Astroformer|93.36|null|[']']|2304.05350v2
VIT-L/16|93.30|null|[']']|2305.03238v3
CaiT-M-36 U 224|93.1|null|['Transformer']|2103.17239v2
ViT-L (attn fine-tune)|93.0|null|[']']|2203.09795v1
TResNet-L-V2|92.6|null|[']']|2003.13630v3
EfficientNetV2-L|92.3|null|['EfficientNet']|2104.00298v3
EfficientNetV2-M|92.2|null|['EfficientNet']|2104.00298v3
BiT-M (ResNet)|92.17|null|['ResNet']|1912.11370v3
CeiT-S|91.8|null|['Transformer']|2103.11816v2
CeiT-S (384 finetune resolution)|91.8|null|['Transformer']|2103.11816v2
EfficientNet-B7|91.7|64M|['EfficientNet']|1905.11946v5
EfficientNetV2-S|91.5|null|['EfficientNet']|2104.00298v3
GPIPE|91.3|null|[']']|1811.06965v5
TNT-B|91.1|65.6M|['Transformer']|2103.00112v3
DeiT-B|90.8|86M|['Transformer']|2012.12877v2
GFNet-H-B|90.3|54M|[']']|2107.00645v2
E2E-3M|90.27|null|[']']|2007.15161v3
Bamboo (ViT-B/16)|90.2|null|[']']|2203.07845v2
PyramidNet-272 (ASAM)|89.90|null|[']']|2102.11600v3
PyramidNet (SAM)|89.7|null|[']']|2010.01412v3
DVT (T2T-ViT-24)|89.63|null|['Transformer']|2105.15075v2
ResMLP-24|89.5|null|[']']|2105.03404v2
PyramidNet-272, S=4|89.46|32.8M|[']']|2011.14660v4
CeiT-T|89.4|null|['Transformer']|2103.11816v2
PyramidNet+ShakeDrop|89.3|null|[']']|1805.09501v3
ViT-B/16- SAM|89.1|null|['Transformer']|2106.01548v3
ConvMLP-M|89.1|null|[']']|2109.04454v2
ConvMLP-L|88.6|null|[']']|2109.04454v2
ResNet-152x4-AGC (ImageNet-21K)|88.54|null|[']']|2106.00116v4
ColorNet|88.4|19.0M|[']']|1902.00267v1
PyramidNet+ShakeDrop (Fast AA)|88.3|null|[']']|1905.00397v2
NAT-M4|88.3|9.0M|[']']|2005.05859v2
CeiT-T (384 finetune resolution)|88|null|['Transformer']|2103.11816v2
NAT-M3|87.7|7.8M|[']']|2005.05859v2
ViT-S/16- SAM|87.6|null|['Transformer']|2106.01548v3
NAT-M2|87.5|6.4M|[']']|2005.05859v2
Dynamics 1|87.48|null|[']']|2205.10456v3
DenseNet-BC-190, S=4|87.44|26.3M|[']']|2011.14660v4
ConvMLP-S|87.4|null|[']']|2109.04454v2
ResMLP-12|87.0|null|[']']|2105.03404v2
WRN-40-10, S=4|86.90|null|[']']|2011.14660v4
ResNet50 (A1)|86.9|25M|[']']|2110.00476v1
WRN-28-10 * 3|86.81|null|[']']|2103.06132v3
PyramidNet + AA (AMP)|86.64|null|[']']|2010.04925v4
PyramidNet-200 + Shakedrop + Cutmix + PS-KD|86.41|null|[']']|2006.12000v3
Mixer-B/16- SAM|86.4|null|['Transformer']|2106.01548v3
PyramidNet-200 + Shakedrop + Cutmix|86.19|null|[']']|1905.04899v2
MUXNet-m|86.1|2.1M|[']']|2003.13880v2
NAT-M1|86.0|3.8M|[']']|2005.05859v2
WRN-28-10|85.77|null|[']']|2103.06132v3
WRN-28-10, S=4|85.74|null|[']']|2011.14660v4
PyramidNet|85.6|null|[']']|2205.09615v4
WRN-28-8 (SAMix+DM)|85.59|null|[']']|null
WRN-28-8 +SAMix|85.50|null|['ResNet']|2111.15454v3
ASANas|85.42|null|[']']|1903.06236v1
WRN-28-8 (AutoMix+DM)|85.38|null|[']']|null
SparseSwin|85.35|17.58M|[']']|2309.05224v1
WRN-28-8 (PuzzleMix+DM)|85.25|null|[']']|null
ResNet-50-SAM|85.2|null|['ResNet']|2106.01548v3
WRN-28-8 +AutoMix|85.16|null|['ResNet']|2103.13027v6
WaveMixLite-256/7|85.09|null|[']']|2205.14375v5
WRN 28-14|85.00|null|[']']|2007.12927v4
R-Mix (WideResNet 28-10)|85|null|[']']|2212.04875v3
EEEA-Net-C (b=5)+ CO|84.98|null|[']']|2108.06156v1
RL-Mix (WideResNet 28-10)|84.9|null|[']']|2212.04875v3
Wide-ResNet-28-10|84.89|null|[']']|2209.15031v2
SENet + ShakeEven + Cutout|84.59|null|[']']|1709.01507v4
ResNeXt-50(32x4d) + SAMix|84.42|null|['ResNet']|2111.15454v3
WRN-28-10 with reSGHMC|84.38|null|[']']|2008.05367v3
PyramidNet-272 + SWA|84.16|null|[']']|1803.05407v3
WRN28-10|84.05|null|[']']|2009.06962v2
HCGNet-A3|84.04|11.4M|[']']|1908.09699v3
WideResNet 28-10 + CutMix (OneCycleLR scheduler)|83.97|null|[']']|2212.04875v3
DenseNet-BC-190 + FMix|83.95|null|[']']|2002.12047v3
ORN|83.85|null|[']']|1701.01833v2
Grafit (ResNet-50)|83.7|null|['ResNet']|2011.12982v1
ResNeXt-50(32x4d) + AutoMix|83.64|null|['ResNet']|2103.13027v6
CCT-7/3x1+HTM+VTM|83.57|null|[']']|2210.07562v1
HCGNet-A2|83.46|3.1M|[']']|1908.09699v3
Res2NeXt-29|83.44|null|[']']|1904.01169v3
DenseNet-BC-190 + Mixup|83.20|null|[']']|1710.09412v2
SSAL-DenseNet 190-40|83.2|null|[']']|2101.03057v1
EnAET|83.13|null|[']']|1911.09265v2
WRN 28-10|83.06|null|[']']|2007.12927v4
R-Mix (ResNeXt 29-4-24)|83.02|null|[']']|2212.04875v3
