name|accuracy|params|tags|id
Co-DETR|65.9|null|['Large']|2211.12860v5
M3I Pre-training (InternImage-H)|65.0|null|[']']|2211.09807v2
InternImage-H|65.0|null|[']']|2211.05778v4
Co-DETR (Swin-L)|64.7|null|[']']|2211.12860v5
Focal-Stable-DINO (without TTA)|64.6|null|[']']|2304.13027v1
EVA|64.5|null|['ViT-Giant', 'ViT']|2211.07636v2
ViT-CoMer|64.3|null|['ViT-L']|2403.07392
FocalNet-H (DINO)|64.2|null|['DINO', 'FocalNet']|2203.11926v3
InternImage-XL|64.2|null|[']']|2211.05778v4
RevCol-H(DINO)|63.8|null|[']']|2212.11696v3
DINO(Swin-L)|63.2|null|[']']|2203.03605v4
Grounding DINO|63.0|null|[']']|2303.05499v4
SwinV2-G (HTC++)|62.5|null|[']']|2111.09883v2
Florence-CoSwin-H|62|null|[']']|2111.11432v1
GLEE-Pro|62.0|null|[']']|2312.09158v1
ViTDet, ViT-H Cascade (multiscale)|61.3|null|['ViT']|2203.16527v2
GLIP (Swin-L, multi-scale)|60.8|null|['multiscale', 'Vision Language', 'Dynamic Head', 'BERT-Base']|2112.03857v2
Soft Teacher + Swin-L (HTC++, multi-scale)|60.7|null|['multiscale', 'Swin-Transformer']|2106.09018v3
UNINEXT-H|60.6|null|[']']|2303.06674v2
ViT-Adapter-L (HTC++, BEiTv2 pretrain, multi-scale)|60.5|null|['ViT']|2205.08534v4
ViTDet, ViT-H Cascade|60.4|null|['ViT']|2203.16527v2
GLEE-Plus|60.4|null|[']']|2312.09158v1
DyHead (Swin-L, multi scale, self-training)|60.3|null|['Swin-Transformer', 'multiscale']|2106.08322v1
ViT-Adapter-L (HTC++, BEiT pretrain, multi-scale)|60.2|null|['ViT']|2205.08534v4
Soft Teacher+Swin-L(HTC++, single scale)|60.1|null|['swin-transformer', 'single scale']|2106.09018v3
CBNetV2 (Dual-Swin-L HTC, multi-scale)|59.6|null|[']']|2107.00420v7
Frozen Backbone, SwinV2-G-ext22K (HTC)|59.3|null|[']']|2211.02043v1
HorNet-L|59.2|null|[']']|2207.14284v3
MOAT-3 (IN-22K pretraining, single-scale)|59.2|null|[']']|2210.01820v2
CBNetV2 (Dual-Swin-L HTC, single-scale)|59.1|null|[']']|2107.00420v7
Focal-L (DyHead, multi-scale)|58.7|null|['Focal-Transformer', 'multiscale']|2107.00641v1
MViTv2-L (Cascade Mask R-CNN, multi-scale, IN21k pre-train)|58.7|null|[']']|2112.01526v2
MOAT-2 (IN-22K pretraining, single-scale)|58.5|null|[']']|2210.01820v2
DyHead (Swin-L, multi scale)|58.4|null|['Swin-Transformer', 'multiscale']|2106.08322v1
Swin-L (HTC++, multi scale)|58|null|['Swin-Transformer', 'multiscale']|2103.14030v2
MOAT-1 (IN-1K pretraining, single-scale)|57.7|null|[']']|2210.01820v2
UM-MAE(HTC++, Swin-L, IN1K)|57.4|null|['Self-Supervised Learning', 'Swin-Transformer', 'single scale']|2205.10063v1
YOLOv6-L6(46 fps, 1280, V100)|57.2|null|['YOLO']|2301.05586v1
Swin-L (HTC++, single scale)|57.1|null|[']']|2103.14030v2
TransNeXt-Base (IN-1K pretrain, DINO 1x)|57.1|null|[']']|2311.17132v2
Cascade Eff-B7 NAS-FPN (1280, self-training Copy Paste, single-scale)|57.0|null|['EfficientNet', 'single scale', 'NAS-FPN']|2012.07177v2
TransNeXt-Small (IN-1K pretrain, DINO 1x)|56.6|null|[']']|2311.17132v2
QueryInst (single scale)|56.1|null|['single scale']|2105.01928v3
MViTv2-H (Cascade Mask R-CNN, single-scale, IN21k pre-train)|56.1|null|[']']|2112.01526v2
MOAT-0 (IN-1K pretraining, single-scale)|55.9|null|[']']|2210.01820v2
TransNeXt-Tiny (IN-1K pretrain, DINO 1x)|55.7|null|[']']|2311.17132v2
YOLOv4-P7 CSP-P7 (single-scale, 16 fps)|55.4|null|[']']|2011.08036v2
tiny-MOAT-3 (IN-1K pretraining, single-scale)|55.2|null|[']']|2210.01820v2
FAN-L-Hybrid|55.1|null|[']']|2204.12451v4
Hiera-L|55|null|[']']|2306.00989v1
GLEE-Lite|55.0|null|[']']|2312.09158v1
TEC(VIT-B, Mask-RCNN)|54.6|null|['Self-Supervised Learning', 'Transformer']|2210.11016v1
Cascade Eff-B7 NAS-FPN (1280)|54.5|null|[']']|2012.07177v2
CAE (ViT-L, Mask R-CNN, 1x schedule)|54.5|null|['1x schedule']|2202.03026v3
MViTv2-L (Cascade Mask R-CNN, single-scale)|54.3|null|[']']|2112.01526v2
SpineNet-190 (1280, with Self-training on OpenImages, single-scale)|54.2|null|['single scale']|2006.06882v2
Cascade RCNN-RS (SpineNet-143L, single scale)|53.6|null|[']']|2107.00057v1
UniverseNet-20.08d (Res2Net-101, DCN, multi-scale)|53.5|null|['DCN', 'multiscale']|2103.14027v3
MAE (ViT-L, Mask R-CNN)|53.3|null|[']']|2111.06377v2
Cascade RCNN-RS (ResNet-200, single scale)|53.1|null|[']']|2107.00057v1
tiny-MOAT-2 (IN-1K pretraining, single-scale)|53.0|null|[']']|2210.01820v2
MViT-L (Mask R-CNN, single-scale, IN21k pre-train)|52.7|null|['MViT']|2112.01526v2
ResNeSt-200 (multi-scale)|52.47|null|['multiscale']|2004.08955v2
ActiveMLP-B (Cascade Mask R-CNN)|52.3|null|[']']|2203.06108v2
RetinaNet (SpineNet-190, 1536x1536)|52.2|null|[']']|1912.05027v3
EfficientDet-D7 (1536)|52.1|null|[']']|1911.09070v7
tiny-MOAT-1 (IN-1K pretraining, single-scale)|51.9|null|[']']|2210.01820v2
GCNet (ResNeXt-101 + DCN + cascade + GC r4)|51.8|null|['GCN', 'DCN', 'ResNeXt']|2012.13375v1
ELSA-S (Cascade Mask RCNN)|51.6|null|[']']|2112.12786v1
FocalNet-T (LRF, Cascade Mask R-CNN)|51.5|null|[']']|2203.11926v3
ResNeSt-200-DCN (single-scale)|50.91|null|['DCN', 'single scale']|2004.08955v2
UniverseNet-20.08d (Res2Net-101, DCN, single-scale)|50.9|null|['DCN', 'single scale']|2103.14027v3
ResNeSt-200 (single-scale)|50.54|null|['single scale']|2004.08955v2
tiny-MOAT-0 (IN-1K pretraining, single-scale)|50.5|null|[']']|2210.01820v2
MAE (ViT-B, Mask R-CNN)|50.3|null|[']']|2111.06377v2
Sparse R-CNN (PVTv2-B2)|50.1|null|[']']|2106.13797v7
Pix2seq (ViT-L)|50.0|null|[']']|2109.10852v2
BoTNet 200 (Mask R-CNN, single scale, 72 epochs)|49.7|null|['Transformer', 'single scale']|2101.11605v2
BoTNet 152 (Mask R-CNN, single scale, 72 epochs)|49.5|null|['Transformer', 'single scale']|2101.11605v2
REGO-Deformable DETR-X101|49.1|null|[']']|2112.04632v2
CenterMask+VoVNet99 (multi-scale)|48.6|null|['multiscale']|1911.06667v6
Mask R-CNN (ResNeXt-152-FPN, cascade)|48.6|null|['FPN', 'ResNeXt']|1811.08883v1
UniverseNet-20.08 (Res2Net-50, DCN, single-scale)|48.5|null|['DCN', 'single scale']|2103.14027v3
XCiT-M24/8|48.5|null|[']']|2106.09681v2
ELSA-S (Mask RCNN)|48.3|null|[']']|2112.12786v1
XCiT-S24/8|48.1|null|[']']|2106.09681v2
GCNet (ResNeXt-101 + DCN + cascade + GC r16)|47.9|null|['GCN', 'DCN', 'ResNeXt']|1904.11492v1
