name,accuracy,params,tags,id
VIT-L/16 (Spinal FC),99.71,null,[']'],2305.03238v4
\u00b52Net+ (ViT-L/16),99.64,null,[']'],2209.07326v3
kNN-CLIP,99.6,null,"['Memory-Centric', 'CLIP Pre-trained']",2204.01186v2
Wide-ResNet-101 (Spinal FC),98.66,null,[']'],2007.03347v3
CN(d=128),98.45,null,[']'],null
CN(d=64),98.36,null,[']'],null
NSRL+CN(d=128),98.36,null,[']'],null
NSRL+CN(d=32),98.34,null,[']'],null
NSRL+CN(d=64),98.24,null,[']'],null
CN(d=32),98.17,null,[']'],null
NAT-M4,97.9,7.5M,[']'],2005.05859v2
NAT-M3,97.8,7.5M,[']'],2005.05859v2
SEER (RegNet10B),97.3,10000M,"['IG-1B', 'Self-Supervised Learning', 'RegNet']",2202.08360v2
NAT-M2,97.2,5.1M,[']'],2005.05859v2
iGPT-L,97.1,null,[']'],null
NAT-M1,96.7,4.4M,[']'],2005.05859v2
EnAET,95.48,null,[']'],1911.09265v2
VGG-19bn,95.44,null,[']'],2007.03347v3
Diffusion Classifier (zero-shot),95.4,null,[']'],2303.16203v3
FixMatch (CTA),94.83,null,[']'],2001.07685
ReMixMatch,94.77,null,[']'],2001.07685
AMDIM,94.5,null,[']'],1906.00910v2
MixMatch,94.41,null,[']'],1905.02249v2
AMDIM-L,94.2,null,[']'],null
ReMixMatch (K=4),93.82,null,[']'],1911.09785v2
AMDIM,93.80,null,[']'],2009.00104v1
ReMixMatch (K=1),93.23,null,[']'],1911.09785v2
MP*,93.19,null,[']'],2007.01472v1
UDA,92.34,null,[']'],2001.07685
YADIM,92.15,null,[']'],2009.00104v1
FixMatch (RA),92.02,null,[']'],2001.07685
NSGANetV2,92.0,null,[']'],2007.10396v1
SESN,91.49,null,[']'],1910.11093v2
Harmonic WRN-16-8,90.45,null,[']'],1905.00135v1
wrn16/8 D8 D4 D1,90.20,null,[']'],1911.08251v2
"DLME (ResNet-50, linear)",90.1,null,[']'],2207.03160v2
MixMatch,89.82,null,[']'],1911.09785v2
MixMatch,89.59,null,[']'],2001.07685
wrn16/8* D8 D4 D1,89.43,null,[']'],1911.08251v2
wrn16/8* D1 D1 D1,88.95,null,[']'],1911.08251v2
wrn16/8 D1 D1 D1,88.83,null,[']'],1911.08251v2
IIC,88.8,null,[']'],1807.06653v4
IIC,88.80,null,[']'],1905.02249v2
SOPCNN,88.08,null,[']'],2001.08856v1
TS,88.03,null,[']'],2007.01472v1
CutOut,87.36,null,[']'],1905.02249v2
Cutout,87.26,null,[']'],1708.04552v2
wrn16/8,87.26,null,[']'],1911.08251v2
Hamiltonian,85.5,null,[']'],1709.03698v2
ResNet-18+MM+FRL,85.42,null,[']'],2011.10951v2
MidPoint,84.6,null,[']'],1709.03698v2
cosine function,84.38,null,[']'],null
HybridNet,84.10,null,[']'],1807.11407v1
Leapfrog,83.7,null,[']'],1709.03698v2
skewing,83.47,null,[']'],null
elastic distortion(2),83.45,null,[']'],null
PSLR-knn,83.2,null,[']'],null
elastic distortion(1),83.00,null,[']'],null
ResNet baseline,82.00,null,['ResNet'],1807.11407v1
Greedy InfoMax (GIM),81.9,null,[']'],1905.11786v3
rotation,81.45,null,[']'],null
"ResNet18(BN, 4)",81.04,null,['ResNet'],2003.05569v1
VGG8B + LocalLearning + CO,80.75,null,[']'],1901.06656v2
"ResNet18(GN, 4)",79.3,null,['ResNet'],2003.05569v1
PSLR-Linear,78.8,null,[']'],null
"ResNet18(BN, 128)",78.65,null,['ResNet'],2003.05569v1
Mean Teacher,78.57,null,[']'],2001.07685
CPC\u2020,78.36,null,[']'],2009.00104v1
Hamiltonian,78.3,null,[']'],1804.04272v2
CC-GAN\u00b2,77.8,null,[']'],1611.06430v1
CC-GAN,77.80,null,[']'],1911.09785v2
Parabolic,77.0,null,[']'],1804.04272v2
Scat + WRN 20-8,76.6,null,[']'],1703.08961v2
"ResNet18(EBN, 4)",76.49,null,['ResNet'],2003.05569v1
Exemplar CNN,75.7,null,[']'],1703.08961v2
"ResNet18(EBN, 128)",75.57,null,['ResNet'],2003.05569v1
Stacked what-where AE,74.33,null,[']'],1703.08961v2
SWWAE,74.33,null,[']'],1807.11407v1
SWWAE,74.30,null,[']'],1911.09785v2
SWWAE,74.3,null,[']'],1506.02351v8
Second-order,74.3,null,[']'],1804.04272v2
