name|accuracy|params|tags|id
Co-DETR|65.9|null|['Large']|2211.12860v5
M3I Pre-training (InternImage-H)|65.0|null|[']']|2211.09807v2
InternImage-H|65.0|null|[']']|2211.05778v4
Co-DETR (Swin-L)|64.7|null|[']']|2211.12860v5
Focal-Stable-DINO (without TTA)|64.6|null|[']']|2304.13027v1
EVA|64.5|null|['ViT-Giant', 'ViT']|2211.07636v2
ViT-CoMer|64.3|null|['ViT-L']|2403.07392
FocalNet-H (DINO)|64.2|null|['DINO', 'FocalNet']|2203.11926v3
InternImage-XL|64.2|null|[']']|2211.05778v4
RevCol-H(DINO)|63.8|null|[']']|null
DINO(Swin-L)|63.2|null|[']']|null
Grounding DINO|63.0|null|[']']|null
SwinV2-G (HTC++)|62.5|null|[']']|null
Florence-CoSwin-H|62|null|[']']|null
GLEE-Pro|62.0|null|[']']|null
ViTDet, ViT-H Cascade (multiscale)|61.3|null|['ViT']|null
GLIP (Swin-L, multi-scale)|60.8|null|['multiscale', 'Vision Language', 'Dynamic Head', 'BERT-Base']|null
Soft Teacher + Swin-L (HTC++, multi-scale)|60.7|null|['multiscale', 'Swin-Transformer']|null
UNINEXT-H|60.6|null|[']']|null
ViT-Adapter-L (HTC++, BEiTv2 pretrain, multi-scale)|60.5|null|['ViT']|null
ViTDet, ViT-H Cascade|60.4|null|['ViT']|null
GLEE-Plus|60.4|null|[']']|null
DyHead (Swin-L, multi scale, self-training)|60.3|null|['Swin-Transformer', 'multiscale']|null
ViT-Adapter-L (HTC++, BEiT pretrain, multi-scale)|60.2|null|['ViT']|null
Soft Teacher+Swin-L(HTC++, single scale)|60.1|null|['swin-transformer', 'single scale']|null
CBNetV2 (Dual-Swin-L HTC, multi-scale)|59.6|null|[']']|null
Frozen Backbone, SwinV2-G-ext22K (HTC)|59.3|null|[']']|null
HorNet-L|59.2|null|[']']|null
MOAT-3 (IN-22K pretraining, single-scale)|59.2|null|[']']|null
CBNetV2 (Dual-Swin-L HTC, single-scale)|59.1|null|[']']|null
Focal-L (DyHead, multi-scale)|58.7|null|['Focal-Transformer', 'multiscale']|null
MViTv2-L (Cascade Mask R-CNN, multi-scale, IN21k pre-train)|58.7|null|[']']|null
MOAT-2 (IN-22K pretraining, single-scale)|58.5|null|[']']|null
DyHead (Swin-L, multi scale)|58.4|null|['Swin-Transformer', 'multiscale']|null
Swin-L (HTC++, multi scale)|58|null|['Swin-Transformer', 'multiscale']|null
MOAT-1 (IN-1K pretraining, single-scale)|57.7|null|[']']|null
UM-MAE(HTC++, Swin-L, IN1K)|57.4|null|['Self-Supervised Learning', 'Swin-Transformer', 'single scale']|null
YOLOv6-L6(46 fps, 1280, V100)|57.2|null|['YOLO']|null
Swin-L (HTC++, single scale)|57.1|null|[']']|null
TransNeXt-Base (IN-1K pretrain, DINO 1x)|57.1|null|[']']|null
Cascade Eff-B7 NAS-FPN (1280, self-training Copy Paste, single-scale)|57.0|null|['EfficientNet', 'single scale', 'NAS-FPN']|null
TransNeXt-Small (IN-1K pretrain, DINO 1x)|56.6|null|[']']|null
QueryInst (single scale)|56.1|null|['single scale']|null
MViTv2-H (Cascade Mask R-CNN, single-scale, IN21k pre-train)|56.1|null|[']']|null
MOAT-0 (IN-1K pretraining, single-scale)|55.9|null|[']']|null
TransNeXt-Tiny (IN-1K pretrain, DINO 1x)|55.7|null|[']']|null
YOLOv4-P7 CSP-P7 (single-scale, 16 fps)|55.4|null|[']']|null
tiny-MOAT-3 (IN-1K pretraining, single-scale)|55.2|null|[']']|null
FAN-L-Hybrid|55.1|null|[']']|null
Hiera-L|55|null|[']']|null
GLEE-Lite|55.0|null|[']']|null
TEC(VIT-B, Mask-RCNN)|54.6|null|['Self-Supervised Learning', 'Transformer']|null
Cascade Eff-B7 NAS-FPN (1280)|54.5|null|[']']|null
CAE (ViT-L, Mask R-CNN, 1x schedule)|54.5|null|['1x schedule']|null
MViTv2-L (Cascade Mask R-CNN, single-scale)|54.3|null|[']']|null
SpineNet-190 (1280, with Self-training on OpenImages, single-scale)|54.2|null|['single scale']|null
Cascade RCNN-RS (SpineNet-143L, single scale)|53.6|null|[']']|null
UniverseNet-20.08d (Res2Net-101, DCN, multi-scale)|53.5|null|['DCN', 'multiscale']|null
MAE (ViT-L, Mask R-CNN)|53.3|null|[']']|null
Cascade RCNN-RS (ResNet-200, single scale)|53.1|null|[']']|null
tiny-MOAT-2 (IN-1K pretraining, single-scale)|53.0|null|[']']|null
MViT-L (Mask R-CNN, single-scale, IN21k pre-train)|52.7|null|['MViT']|null
ResNeSt-200 (multi-scale)|52.47|null|['multiscale']|null
ActiveMLP-B (Cascade Mask R-CNN)|52.3|null|[']']|null
RetinaNet (SpineNet-190, 1536x1536)|52.2|null|[']']|null
EfficientDet-D7 (1536)|52.1|null|[']']|null
tiny-MOAT-1 (IN-1K pretraining, single-scale)|51.9|null|[']']|null
GCNet (ResNeXt-101 + DCN + cascade + GC r4)|51.8|null|['GCN', 'DCN', 'ResNeXt']|null
ELSA-S (Cascade Mask RCNN)|51.6|null|[']']|null
FocalNet-T (LRF, Cascade Mask R-CNN)|51.5|null|[']']|null
ResNeSt-200-DCN (single-scale)|50.91|null|['DCN', 'single scale']|null
UniverseNet-20.08d (Res2Net-101, DCN, single-scale)|50.9|null|['DCN', 'single scale']|null
ResNeSt-200 (single-scale)|50.54|null|['single scale']|null
tiny-MOAT-0 (IN-1K pretraining, single-scale)|50.5|null|[']']|null
MAE (ViT-B, Mask R-CNN)|50.3|null|[']']|null
Sparse R-CNN (PVTv2-B2)|50.1|null|[']']|null
Pix2seq (ViT-L)|50.0|null|[']']|null
BoTNet 200 (Mask R-CNN, single scale, 72 epochs)|49.7|null|['Transformer', 'single scale']|null
BoTNet 152 (Mask R-CNN, single scale, 72 epochs)|49.5|null|['Transformer', 'single scale']|null
REGO-Deformable DETR-X101|49.1|null|[']']|null
CenterMask+VoVNet99 (multi-scale)|48.6|null|['multiscale']|null
Mask R-CNN (ResNeXt-152-FPN, cascade)|48.6|null|['FPN', 'ResNeXt']|null
UniverseNet-20.08 (Res2Net-50, DCN, single-scale)|48.5|null|['DCN', 'single scale']|null
XCiT-M24/8|48.5|null|[']']|null
ELSA-S (Mask RCNN)|48.3|null|[']']|null
XCiT-S24/8|48.1|null|[']']|null
GCNet (ResNeXt-101 + DCN + cascade + GC r16)|47.9|null|['GCN', 'DCN', 'ResNeXt']|null
MAE-Det(MAE-Det-L+GFLV2)|47.8|null|[']']|null
Res2Net101+HTC|47.5|null|[']']|null
Mask R-CNN (ResNet-101-FPN, GN, Cascade)|47.4|null|['FPN', 'ResNet']|null
Pix2seq (R50-C4)|47.3|null|[']']|null
Pix2seq (ViT-B)|47.1|null|[']']|null
HTC (HRNetV2p-W48)|47.0|null|[']']|null
PatchConvNet-S120 (Mask R-CNN)|47.0|null|[']']|null
RPDet (ResNeXt-101-DCN, multi-scale)|46.8|null|['DCN', 'multiscale', 'ResNeXt']|null
DyHead (ResNet-101)|46.5|null|[']']|null
Mask R-CNN (ResNeXt-152-FPN)|46.4|null|['FPN', 'ResNeXt']|null
RPDet (ResNet-101-DCN, multi-scale)|46.4|null|['DCN', 'multiscale', 'ResNet']|null
PatchConvNet-S60 (Mask R-CNN)|46.4|null|[']']|null
Cascade Mask R-CNN (ResNet-50)|46.3|null|[']']|null
