Task,Dataset,name,accuracy,accuracy_norm,params,tags,id,max,min,difficulty
3D Part Segmentation,Intra,3DMedPT,94.82,1.0,,['Transformer'],2112.04863v2,94.82,89.1,1.0
3D Part Segmentation,ShapeNet,GeomGCNN,89.1,1.0,,[],2103.15226v1,94.82,89.1,0.0
Depth Estimation,KITTI,FutureDepth,0.041,1.0,,[],2403.12953v1,0.2619,0.041,0.0
Depth Estimation,Stanford 2D 3D,HiMODE,0.2619,1.0,,[],2204.05007v1,0.2619,0.041,1.0
Image Classification,CIFAR-10,ViT-H/14,99.0,1.0,632M,['Transformer'],2010.11929v2,100.0,47.6,0.9809160305343512
Image Classification,"CIFAR-10, 40% Symmetric Noise",FaMUS,95.37,1.0,,[],2104.15092v1,100.0,47.6,0.9116412213740459
Image Classification,"CIFAR-10, 60% Symmetric Noise",MentorMix,91.3,1.0,,[],2104.15092v1,100.0,47.6,0.8339694656488549
Image Classification,CIFAR-100,EffNet-L2 (SAM),96.0,1.0,,[],2010.01412v3,100.0,47.6,0.9236641221374046
Image Classification,"CIFAR-100, 40% Symmetric Noise",FaMUS,75.91,1.0,,[],2104.15092v1,100.0,47.6,0.540267175572519
Image Classification,CINIC-10,"VIT-L/16 (Spinal FC, Background)",95.8,1.0,,[],2305.03238v4,100.0,47.6,0.9198473282442747
Image Classification,CLEVR/Count,SEER (RegNet10B),89.28,1.0,,[],2202.08360v2,100.0,47.6,0.7954198473282443
Image Classification,CLEVR/Dist,SEER (RegNet10B),74.98,1.0,,[],2202.08360v2,100.0,47.6,0.5225190839694657
Image Classification,Caltech 256,AG-Net,96.89,1.0,,[],2110.12183v1,100.0,47.6,0.940648854961832
Image Classification,Causal 3Dident,SimCLR,100.0,1.0,,[],2106.04619v4,100.0,47.6,1.0
Image Classification,Clothing1M,LRA-diffusion (CC),75.7,1.0,,[],2305.19518v2,100.0,47.6,0.5362595419847329
Image Classification,Colored MNIST,MLP-DecAug,69.6,1.0,,[],2012.09382v1,100.0,47.6,0.4198473282442747
Image Classification,Cub 200 2011,Sparse-CBM,80.02,1.0,,[],2404.03323v1,100.0,47.6,0.6187022900763358
Image Classification,DF20,ViT-Large/16 (384),80.45,1.0,,[],2103.10107v4,100.0,47.6,0.626908396946565
Image Classification,DF20 mini,ViT-Large/16 (384),75.85,1.0,,[],2103.10107v4,100.0,47.6,0.53912213740458
Image Classification,DTD,Linear FT(ViT-L/14),90.0,1.0,,[],2305.12827v3,100.0,47.6,0.8091603053435115
Image Classification,EMNIST Balanced,WaveMixLite-128/7,91.06,1.0,,[],2205.14375v5,100.0,47.6,0.8293893129770993
Image Classification,EMNIST Digits,WaveMixLite-112/16,99.82,1.0,,[],2205.14375v5,100.0,47.6,0.996564885496183
Image Classification,EMNIST Letters,WaveMixLite-112/16,95.96,1.0,,[],2205.14375v5,100.0,47.6,0.9229007633587785
Image Classification,EUROSAT,IMP+MTP(IntenImage-XL),99.24,1.0,,[],2403.13430v2,100.0,47.6,0.9854961832061068
Image Classification,EUROSAT SAR,FG-MAE (ViT-S/16),85.9,1.0,,[],2310.18653v1,100.0,47.6,0.7309160305343513
Image Classification,Fashion MNIST,Fine-Tuning DARTS,96.91,1.0,,[],2006.09042v1,100.0,47.6,0.9410305343511449
