name|accuracy|params|hardware_req|tags
OmniVec|92.4|null|null|[']']
BASIC-L (Lion, fine-tuned)|91.1|2440000000.0|null|['Conv+Transformer', 'ALIGN', 'JFT-3B']
CoCa (finetuned)|91.0|2100000000.0|null|['ALIGN', 'Transformer', 'JFT-3B']
Model soups (BASIC-L)|90.98|2440000000.0|null|['ALIGN', 'JFT-3B', 'Conv+Transformer']
Model soups (ViT-G/14)|90.94|1843000000.0|null|['JFT-3B', 'Transformer']
ViT-e|90.9|3900000000.0|null|['Transformer', 'JFT-3B']
CoAtNet-7|90.88|2440000000.0|2586.0|['Conv+Transformer', 'JFT-3B']
ViT-G/14 (Lion)|90.71|1843000000.0|null|['Transformer', 'JFT-3B']
CoCa (frozen)|90.6|2100000000.0|null|['Transformer', 'ALIGN', 'JFT-3B']
CoAtNet-6|90.45|1470000000.0|1521.0|['Conv+Transformer', 'JFT-3B']
ViT-G/14|90.45|1843000000.0|2859.9|['JFT-3B', 'Transformer']
DaViT-G|90.4|1437000000.0|1038.0|['Transformer']
DaViT-H|90.2|362000000.0|334.0|['Transformer']
Meta Pseudo Labels (EfficientNet-L2)|90.2|480000000.0|null|['JFT-300M', 'EfficientNet']
SwinV2-G|90.17|3000000000.0|null|['Transformer']
InternImage-DCNv3-G (M3I Pre-training)|90.1|3000000000.0|null|[']']
MAWS (ViT-6.5B)|90.1|6500000000.0|null|[']']
Florence-CoSwin-H|90.05|893000000.0|null|['FLD-900M', 'Transformer']
Meta Pseudo Labels (EfficientNet-B6-Wide)|90.0|390000000.0|null|['JFT-300M', 'EfficientNet']
RevCol-H|90.0|2158000000.0|null|['Pure CNN', 'Reversible', 'CNN']
ONE-PEACE|89.8|1520000000.0|null|[']']
MAWS (ViT-2B)|89.8|2000000000.0|null|[']']
EVA|89.7|1000000000.0|null|[']']
M3I Pre-training (InternImage-H)|89.6|null|null|['YFCC-15M', 'Laion-400M']
ViT-L/16 (384res, distilled from ViT-22B)|89.6|307000000.0|null|[']']
InternImage-H|89.6|1080000000.0|1478.0|[']']
MaxViT-XL (512res, JFT)|89.53|null|null|['JFT-300M']
MAWS (ViT-H)|89.5|650000000.0|null|[']']
MaxViT-XL (384res, JFT)|89.41|null|null|['JFT-300M']
MaxViT-L (512res, JFT)|89.41|null|null|['JFT-300M']
NFNet-F4+|89.2|527000000.0|367.0|['CNN', 'JFT-300M']
MaxViT-L (384res, JFT)|89.12|null|null|['JFT-300M']
MOAT-4 22K+1K|89.1|483200000.0|648.5|['ImageNet-22k']
FD (CLIP ViT-L-336)|89.0|307000000.0|null|['ImageNet-22k', 'CLIP data ']
Last Layer Tuning with Newton Step (ViT-G/14))|88.9|null|null|[']']
TokenLearner L/8 (24+11)|88.87|460000000.0|null|['Transformer', 'JFT-300M']
MaxViT-B (512res, JFT)|88.82|null|null|['JFT-300M']
MAWS (ViT-L)|88.8|null|null|[']']
MViTv2-H (512 res, ImageNet-21k pretrain)|88.8|667000000.0|763.5|['ImageNet-22k']
MaxViT-XL (512res, 21K)|88.7|null|null|[']']
MaxViT-B (384res, JFT)|88.69|null|null|[']']
ALIGN (EfficientNet-L2)|88.64|480000000.0|null|['ALIGN', 'EfficientNet']
EfficientNet-L2-475 (SAM)|88.61|480000000.0|null|['JFT-300M', 'EfficientNet']
ViT-B/16 (384res, distilled from ViT-22B)|88.6|86000000.0|null|[']']
BEiT-L (ViT; ImageNet-22K pretrain)|88.6|331000000.0|null|['ImageNet-22k', 'Transformer']
SWAG (ViT H/14)|88.6|633500000.0|1018.8|[']']
ViT-H/14|88.55|null|null|['JFT-300M', 'Transformer']
CoAtNet-3 @384|88.52|168000000.0|114.0|[']']
MaxViT-XL (384res, 21K)|88.51|null|null|['ImageNet-22k']
mPLUG-2|88.5|null|null|[']']
OpenCLIP ViT-H/14|88.5|null|null|[']']
FixEfficientNet-L2|88.5|480000000.0|585.0|['JFT-300M', 'EfficientNet']
ViTAE-H + MAE (448)|88.5|644000000.0|null|[']']
MaxViT-L (512res, 21K)|88.46|null|null|[']']
MViTv2-L (384 res, ImageNet-21k pretrain)|88.4|218000000.0|140.7|['ImageNet-22k']
NoisyStudent (EfficientNet-L2)|88.4|480000000.0|null|['JFT-300M', 'EfficientNet']
MaxViT-B (512res, 21K)|88.38|null|null|['ImageNet-22k']
Top-k DiffSortNets (EfficientNet-L2)|88.37|null|null|['EfficientNet', 'JFT-300M']
Adlik-ViT-SG+Swin_large+Convnext_xlarge(384)|88.36|1827000000.0|null|[']']
