Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Domain Adaptation,Office-31,PMTrans,95.3,1.0,null,['Transformer'],2303.13434v2
Domain Adaptation,Office-31,CMKD,94.4,0.9587155963302756,null,[']'],null
Domain Adaptation,Office-31,CDTrans,92.6,0.8761467889908255,null,[']'],2109.06165v4
Domain Adaptation,Office-31,CoVi,91.8,0.8394495412844036,null,['ResNet-50'],2111.13353v3
Domain Adaptation,Office-31,GSDE,91.7,0.8348623853211011,null,['ResNet-50'],2311.09599v1
Domain Adaptation,Office-31,FixBi,91.4,0.8211009174311931,null,['ResNet-50'],2011.09230v2
Domain Adaptation,Office-31,Contrastive Adaptation Network,90.6,0.7844036697247705,null,[']'],1901.00976v2
Domain Adaptation,Office-31,BIWAA,90.5,0.779816513761468,null,['ResNet-50'],null
Domain Adaptation,Office-31,DALN,90.4,0.7752293577981655,null,[']'],2204.03838v1
Domain Adaptation,Office-31,ELS,90.4,0.7752293577981655,null,['ResNet-50'],2302.00194v1
Domain Adaptation,Office-31,dSNE,90.01,0.7573394495412847,null,[']'],null
Domain Adaptation,Office-31,ASAN,90.0,0.7568807339449543,null,[']'],null
Domain Adaptation,Office-31,CPGA,89.9,0.7522935779816518,null,[']'],2106.15326v1
Domain Adaptation,Office-31,SFDA2,89.9,0.7522935779816518,null,['ResNet-50'],2403.10834v1
Domain Adaptation,Office-31,MDAIR,89.8,0.7477064220183486,null,[']'],1904.02322v2
Domain Adaptation,Office-31,SPL,89.6,0.7385321100917429,null,[']'],1911.07982v1
Domain Adaptation,Office-31,CADA-P,89.5,0.7339449541284404,null,[']'],1906.03502v2
Domain Adaptation,Office-31,MEDM,89.2,0.7201834862385323,null,[']'],2002.01690v1
Domain Adaptation,Office-31,DADA,89.0,0.7110091743119267,null,[']'],1911.12036v2
Domain Adaptation,Office-31,SHOT,88.6,0.6926605504587154,null,[']'],2002.08546v6
Domain Adaptation,Office-31,DADA,88.0,0.6651376146788992,null,[']'],2001.00153v1
Domain Adaptation,Office-31,IAFN+ENT,87.1,0.6238532110091741,null,[']'],1811.07456v2
Domain Adaptation,Office-31,MRKLD + LRENT,86.8,0.610091743119266,null,[']'],1908.09822v3
Domain Adaptation,Office-31,GTA,86.5,0.5963302752293579,null,[']'],1704.01705v4
Domain Adaptation,Office-31,MEDA (ResNet50),85.7,0.559633027522936,null,['ResNet'],1909.08531v1
Domain Adaptation,Office-31,DAOD,85.4,0.5458715596330278,null,[']'],1907.08375v2
Domain Adaptation,Office-31,MADA,85.2,0.5366972477064222,null,[']'],1809.02176v1
Domain Adaptation,Office-31,DAGE-LDA,82.77,0.425229357798165,null,[']'],2004.11262v4
