Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,ImageNet,OmniVec(ViT),92.4,1.0,null,[']'],2311.05709v1
Image Classification,ImageNet,CoCa (finetuned),91.0,0.9582089552238804,2100M,"['ALIGN', 'Transformer', 'JFT-3B']",2205.01917v2
Image Classification,ImageNet,Model soups (BASIC-L),90.98,0.9576119402985074,2440M,"['ALIGN', 'JFT-3B', 'Conv+Transformer']",2203.05482v3
Image Classification,ImageNet,Model soups (ViT-G/14),90.94,0.9564179104477609,1843M,"['JFT-3B', 'Transformer']",2203.05482v3
Image Classification,ImageNet,ViT-e,90.9,0.9552238805970149,3900M,"['Transformer', 'JFT-3B']",2209.06794v4
Image Classification,ImageNet,CoAtNet-7,90.88,0.9546268656716415,2440M,"['Conv+Transformer', 'JFT-3B']",2106.04803v2
Image Classification,ImageNet,CoCa (frozen),90.6,0.9462686567164176,2100M,"['Transformer', 'ALIGN', 'JFT-3B']",2205.01917v2
Image Classification,ImageNet,CoAtNet-6,90.45,0.9417910447761193,1470M,"['Conv+Transformer', 'JFT-3B']",2106.04803v2
Image Classification,ImageNet,ViT-G/14,90.45,0.9417910447761193,1843M,['Transformer'],2106.04560v2
Image Classification,ImageNet,DaViT-G,90.4,0.9402985074626866,1437M,['Transformer'],2204.03645v1
Image Classification,ImageNet,DaViT-H,90.2,0.9343283582089551,362M,['Transformer'],2204.03645v1
Image Classification,ImageNet,Meta Pseudo Labels (EfficientNet-L2),90.2,0.9343283582089551,480M,"['JFT-300M', 'EfficientNet']",2003.10580v4
Image Classification,ImageNet,SwinV2-G,90.17,0.9334328358208954,3000M,['Transformer'],2111.09883v2
Image Classification,ImageNet,InternImage-DCNv3-G (M3I Pre-training),90.1,0.9313432835820892,3000M,[']'],2211.05778v4
Image Classification,ImageNet,MAWS (ViT-6.5B),90.1,0.9313432835820892,6500M,[']'],2303.13496v3
Image Classification,ImageNet,Florence-CoSwin-H,90.05,0.9298507462686565,893M,"['FLD-900M', 'Transformer']",2111.11432v1
Image Classification,ImageNet,Meta Pseudo Labels (EfficientNet-B6-Wide),90.0,0.9283582089552237,390M,"['JFT-300M', 'EfficientNet']",2003.10580v4
Image Classification,ImageNet,RevCol-H,90.0,0.9283582089552237,2158M,"['Pure CNN', 'Reversible', 'CNN']",2212.11696v3
Image Classification,ImageNet,ONE-PEACE,89.8,0.9223880597014923,1520M,[']'],2305.11172v1
Image Classification,ImageNet,MAWS (ViT-2B),89.8,0.9223880597014923,2000M,[']'],2303.13496v3
Image Classification,ImageNet,EVA,89.7,0.9194029850746268,1000M,[']'],2211.07636v2
Image Classification,ImageNet,M3I Pre-training (InternImage-H),89.6,0.9164179104477609,null,"['YFCC-15M', 'Laion-400M']",2211.09807v2
Image Classification,ImageNet,"ViT-L/16 (384res, distilled from ViT-22B)",89.6,0.9164179104477609,307M,[']'],2302.05442v1
