Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Generation,CIFAR-10,StyleSAN-XL,98.64,1.0,null,['GAN'],2301.12811v4
Image Generation,CIFAR-10,PFGM++ + CS,98.5,0.9979570990806946,null,['Diffusion'],2312.06285v1
Image Generation,CIFAR-10,GDD-I,98.46,0.99737341310375,null,"['Diffusion', 'GAN']",2405.20750v2
Image Generation,CIFAR-10,CTM,98.37,0.9960601196556254,null,['Diffusion'],2310.02279v3
Image Generation,CIFAR-10,Discriminator Guidance,98.36,0.9959141981613892,null,"['Diffusion', 'Score-based']",2211.17091v4
Image Generation,CIFAR-10,GDD,98.34,0.995622355172917,null,"['Diffusion', 'GAN']",2405.20750v2
Image Generation,CIFAR-10,SiD (Conditional),98.29,0.9948927477017365,null,"['Data-free Distillation', 'Diffusion']",2404.04057v3
Image Generation,CIFAR-10,CTM (NFE 1),98.27,0.9946009047132642,null,['Diffusion'],2310.02279v3
Image Generation,CIFAR-10,EDM-AOT,98.27,0.9946009047132642,null,[']'],2403.05069v1
Image Generation,CIFAR-10,PFGM++,98.26,0.9944549832190283,null,['PFGM'],2302.04265v2
Image Generation,CIFAR-10,SciRE-Solver (with EDM),98.24,0.9941631402305559,null,"['Score-based', 'EDM', 'Diffusion']",2308.07896v3
Image Generation,CIFAR-10,Discriminator Guidance (unconditional),98.23,0.9940172187363199,null,"['Diffusion', 'Score-based']",2211.17091v4
Image Generation,CIFAR-10,EDM-ES,98.2,0.9935794542536116,null,"['Score-based', 'Diffusion']",2308.15321v6
Image Generation,CIFAR-10,StyleGAN-XL,98.15,0.9928498467824312,null,['GAN'],2202.00273v2
Image Generation,CIFAR-10,EDM-AOT (unconditional),98.12,0.9924120822997228,null,[']'],2403.05069v1
Image Generation,CIFAR-10,STF (unconditional),98.1,0.9921202393112505,null,['Score-based'],2302.00670v2
Image Generation,CIFAR-10,SiD (Unconditional),98.08,0.9918283963227783,null,"['Data-free Distillation', 'Diffusion']",2404.04057v3
Image Generation,CIFAR-10,Easy Consistency Tuning (ECT),98.06,0.9915365533343061,null,['CM'],2406.14548v1
Image Generation,CIFAR-10,LSGM-G++ (FID),98.06,0.9915365533343061,null,"['VAE', 'Diffusion', 'Score-based']",2211.17091v4
Image Generation,CIFAR-10,DiffiT,98.05,0.99139063184007,null,[']'],2312.02139v2
Image Generation,CIFAR-10,DDIM+CS,97.99,0.9905151028746534,null,[']'],2312.06285v1
Image Generation,CIFAR-10,PSLD (ODE),97.9,0.9892018094265286,null,"['unconditional', 'Score-based']",2303.01748v2
Image Generation,CIFAR-10,LSGM (FID),97.9,0.9892018094265286,null,"['Score-based', 'VAE']",2106.05931v3
Image Generation,CIFAR-10,ADM-ES,97.83,0.9881803589668758,null,"['stochatic sampler', 'unconditional', 'Diffusion']",2308.15321v6
Image Generation,CIFAR-10,Subspace Diffusion (NSCN++),97.83,0.9881803589668758,null,['Score-based'],2205.01490v2
Image Generation,CIFAR-10,LSGM (balanced),97.83,0.9881803589668758,null,"['VAE', 'Score-based']",2106.05931v3
Image Generation,CIFAR-10,NCSN++,97.8,0.9877425944841675,null,['Score-based'],2011.13456v2
Image Generation,CIFAR-10,PSLD (SDE),97.79,0.9875966729899315,null,"['unconditional', 'Score-based']",2303.01748v2
Image Generation,CIFAR-10,CLD-SGM (EM-QS),97.77,0.9873048300014592,null,['Score-based'],2112.07068v4
Image Generation,CIFAR-10,StyleGAN2 + DiffAugment + D2D-CE,97.764,0.9872172771049175,null,['GAN'],2111.01118v1
Image Generation,CIFAR-10,CLD-SGM (Prob. Flow),97.75,0.987012987012987,null,['Score-based'],2112.07068v4
Image Generation,CIFAR-10,INDM (FID),97.72,0.9865752225302787,null,['Diffusion'],2205.13699v3
Image Generation,CIFAR-10,StyleGAN2 + ADA,97.684,0.9860499051510287,null,['GAN'],2111.01118v1
Image Generation,CIFAR-10,StyleGAN2 + ADA+ D2D-CE,97.675,0.9859185758062162,null,['GAN'],2111.01118v1
Image Generation,CIFAR-10,UDM (RVE) + ST,97.67,0.9858456150590982,null,['Score-based'],2106.05527v5
Image Generation,CIFAR-10,PFGM,97.65,0.9855537720706261,null,['PFGM'],2209.11178v4
Image Generation,CIFAR-10,BDDM,97.62,0.9851160075879177,null,['Diffusion'],2203.13508v1
Image Generation,CIFAR-10,BIGRoC (StyleGAN2 ADA),97.59,0.9846782431052095,null,[']'],2108.03702v4
Image Generation,CIFAR-10,"DDPM++ cont. (deep, sub-VP)",97.59,0.9846782431052095,null,['Score-based'],2011.13456v2
Image Generation,CIFAR-10,"DDPM++ (VP, FID) + ST",97.53,0.9838027141397928,null,['Score-based'],2106.05527v5
Image Generation,CIFAR-10,LeCAM (StyleGAN2 + ADA),97.53,0.9838027141397928,null,['GAN'],2104.03310v1
Image Generation,CIFAR-10,PD (NFE=8),97.43,0.9823434991974319,null,['Diffusion'],2202.00512v2
Image Generation,CIFAR-10,DiffuseVAE-72M,97.38,0.9816138917262512,null,[']'],2201.00308v3
Image Generation,CIFAR-10,Diffusion StyleGAN2 + ADA,97.33,0.9808842842550708,null,[']'],2206.02262v4
Image Generation,CIFAR-10,Styleformer,97.18,0.9786954618415293,null,['GAN'],2106.07023v3
Image Generation,CIFAR-10,TDPM+ (TTrunc=99),97.17,0.9785495403472931,null,[']'],2202.09671v4
Image Generation,CIFAR-10,"CD (Diffusion + Distillation, NFE=2)",97.07,0.977090325404932,null,['Diffusion'],2303.01469v2
Image Generation,CIFAR-10,PD (NFE=4),97.0,0.9760688749452794,null,['Diffusion'],2202.00512v2
Image Generation,CIFAR-10,SB-FBSDE,96.99,0.9759229534510433,null,"['Optimal Transport', 'Score-based']",2110.11291v5
Image Generation,CIFAR-10,Denoising Diffusion,96.83,0.9735882095432656,null,['Score-based'],2006.11239v2
Image Generation,CIFAR-10,Diffusion StyleGAN2,96.81,0.9732963665547936,null,[']'],2206.02262v4
Image Generation,CIFAR-10,INDM (ST),96.75,0.9724208375893769,null,[']'],2205.13699v3
Image Generation,CIFAR-10,PNDM,96.74,0.9722749160951407,null,[']'],2202.09778v2
Image Generation,CIFAR-10,Improved DDPM,96.73,0.9721289946009047,null,[']'],2102.09672v1
Image Generation,CIFAR-10,"DDPM++ (VP, NLL) + ST",96.55,0.9695024077046549,null,['Score-based'],2106.05527v5
Image Generation,CIFAR-10,RDGAN,96.47,0.9683350357507661,null,[']'],2311.17101v1
Image Generation,CIFAR-10,"CD (Diffusion + Distillation, NFE=1)",96.45,0.9680431927622939,null,['Diffusion'],2303.01469v2
Image Generation,CIFAR-10,"GENIE (Learned Sampler, NFEs=25)",96.36,0.966729899314169,null,[']'],2210.05475v1
Image Generation,CIFAR-10,DSM-ALS,96.35,0.9665839778199328,null,['Score-based'],2009.05475v2
Image Generation,CIFAR-10,GENIE (NFEs=25),96.33,0.9662921348314606,null,[']'],2210.05475v1
Image Generation,CIFAR-10,DDGAN,96.25,0.9651247628775719,null,[']'],2112.07804v2
Image Generation,CIFAR-10,DiffuseVAE,96.23,0.9648329198890997,null,[']'],2201.00308v3
Image Generation,CIFAR-10,"GENIE (Learned Sampler, NFEs=20)",96.06,0.962352254487086,null,[']'],2210.05475v1
Image Generation,CIFAR-10,GENIE (NFEs=20),96.06,0.962352254487086,null,[']'],2210.05475v1
Image Generation,CIFAR-10,VDM (FID),96.0,0.9614767255216693,null,[']'],2107.00630v6
Image Generation,CIFAR-10,WaveDiff,95.99,0.9613308040274332,null,['Diffusion'],2211.16152v2
Image Generation,CIFAR-10,MHGAN,95.78,0.9582664526484751,null,[']'],null
Image Generation,CIFAR-10,DiffAugment-CR-BigGAN,95.7,0.9570990806945864,null,['GAN'],2006.10738v4
Image Generation,CIFAR-10,ReACGAN,95.6,0.9556398657522253,null,[']'],null
Image Generation,CIFAR-10,"GENIE (Learned Sampler, NFEs=15)",95.51,0.9543265723041005,null,[']'],2210.05475v1
Image Generation,CIFAR-10,GENIE (NFEs=15),95.51,0.9543265723041005,null,[']'],2210.05475v1
Image Generation,CIFAR-10,PD (NFE=2),95.49,0.9540347293156282,null,['Diffusion'],2202.00512v2
Image Generation,CIFAR-10,ViTGAN with StyleGAN2,95.43,0.9531592003502115,null,['Transformer'],2107.04589v2
Image Generation,CIFAR-10,Blackout Diffusion,95.42,0.9530132788559755,null,[']'],2305.11089v1
Image Generation,CIFAR-10,DiffAugment-BigGAN,95.39,0.9525755143732672,null,['GAN'],2006.10738v4
Image Generation,CIFAR-10,INDM (NLL),95.21,0.9499489274770173,null,[']'],2205.13699v3
Image Generation,CIFAR-10,"GENIE (Learned Sampler, NFEs=10)",94.72,0.9427987742594484,null,[']'],2210.05475v1
Image Generation,CIFAR-10,DiffAugment-StyleGAN2,94.21,0.9353567780534072,null,['GAN'],2006.10738v4
Image Generation,CIFAR-10,"CT (Direct Generation, NFE=2)",94.17,0.9347730920764629,null,[']'],2303.01469v2
Image Generation,CIFAR-10,GENIE (NFEs=10),94.03,0.9327301911571575,null,[']'],2210.05475v1
Image Generation,CIFAR-10,ViTGAN,93.34,0.9226616080548665,null,['Transformer'],2107.04589v2
