Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Object Detection,COCO test-dev,Co-DETR,66.0,1.0,null,['Large'],2211.12860v5
Object Detection,COCO test-dev,InternImage-H,65.4,0.9871520342612421,null,[']'],2211.05778v4
Object Detection,COCO test-dev,M3I Pre-training (InternImage-H),65.4,0.9871520342612421,null,[']'],2211.09807v2
Object Detection,COCO test-dev,MoCaE,65.1,0.9807280513918628,null,[']'],2309.14976v4
Object Detection,COCO test-dev,Co-DETR (Swin-L),64.8,0.9743040685224839,null,[']'],2211.12860v5
Object Detection,COCO test-dev,Focal-Stable-DINO (without TTA),64.8,0.9743040685224839,null,"['FocalNet', 'DINO']",2304.13027v1
Object Detection,COCO test-dev,EVA,64.7,0.9721627408993576,null,['ViT-Giant'],2211.07636v2
Object Detection,COCO test-dev,Group DETR v2,64.5,0.9678800856531049,null,"['Group DETR', 'DINO', 'ViT-Huge']",2211.03594v1
Object Detection,COCO test-dev,FocalNet-H (DINO),64.4,0.9657387580299787,null,"['DINO', 'FocalNet']",2203.11926v3
Object Detection,COCO test-dev,InternImage-XL,64.3,0.9635974304068522,null,[']'],2211.05778v4
Object Detection,COCO test-dev,FD-SwinV2-G,64.2,0.961456102783726,null,['Giant'],2205.14141v3
Object Detection,COCO test-dev,RevCol-H(DINO),63.8,0.9528907922912205,null,[']'],2212.11696v3
Object Detection,COCO test-dev,BEiT-3,63.7,0.9507494646680943,null,['Giant'],2208.10442v2
Object Detection,COCO test-dev,DETA (Swin-L),63.5,0.9464668094218416,null,[']'],2212.06137v1
Object Detection,COCO test-dev,"DINO (Swin-L,multi-scale, TTA)",63.3,0.9421841541755888,null,[']'],2203.03605v4
Object Detection,COCO test-dev,SwinV2-G (HTC++),63.1,0.937901498929336,null,"['multiscale', 'Swin-Transformer']",2111.09883v2
Object Detection,COCO test-dev,Grounding DINO,63.0,0.9357601713062098,null,[']'],2303.05499v4
Object Detection,COCO test-dev,Florence-CoSwin-H,62.4,0.9229122055674517,null,['Swin-Transformer'],2111.11432v1
Object Detection,COCO test-dev,"GLIPv2 (CoSwin-H, multi-scale)",62.4,0.9229122055674517,null,"['multiscale', 'BERT', 'Vision Language', 'CLIP']",2206.05836v2
Object Detection,COCO test-dev,GLEE-Pro,62.3,0.9207708779443254,null,[']'],2312.09158v1
Object Detection,COCO test-dev,"GLIP (Swin-L, multi-scale)",61.5,0.9036402569593148,null,"['multiscale', 'Vision Language', 'Dynamic Head', 'BERT-Base']",2112.03857v2
Object Detection,COCO test-dev,"Soft Teacher + Swin-L (HTC++, multi-scale)",61.3,0.899357601713062,null,"['multiscale', 'Swin-Transformer']",2106.09018v3
Object Detection,COCO test-dev,"ViT-Adapter-L (HTC++, BEiTv2 pretrain, multi-scale)",60.9,0.8907922912205566,null,[']'],2205.08534v4
Object Detection,COCO test-dev,"DyHead (Swin-L, multi scale, self-training)",60.6,0.8843683083511776,null,"['multiscale', 'Swin-Transformer']",2106.08322v1
Object Detection,COCO test-dev,GLEE-Plus,60.6,0.8843683083511776,null,[']'],2312.09158v1
Object Detection,COCO test-dev,"ViT-Adapter-L (HTC++, BEiT pretrain, multi-scale)",60.4,0.8800856531049249,null,[']'],2205.08534v4
Object Detection,COCO test-dev,"GRiT (ViT-H, single-scale testing)",60.4,0.8800856531049249,null,[']'],2212.00280v1
Object Detection,COCO test-dev,"CBNetV2 (Dual-Swin-L HTC, multi-scale)",60.1,0.873661670235546,null,['Swin-Transformer'],2107.00420v7
Object Detection,COCO test-dev,"CBNetV2 (Dual-Swin-L HTC, single-scale)",59.4,0.8586723768736615,null,['Swin-Transformer'],2107.00420v7
Object Detection,COCO test-dev,"Focal-L (DyHead, multi-scale)",58.9,0.8479657387580298,null,"['Focal-Transformer', 'multiscale']",2107.00641v1
Object Detection,COCO test-dev,"DyHead (Swin-L, multi scale)",58.7,0.8436830835117773,null,"['Swin-Transformer', 'multiscale']",2106.08322v1
Object Detection,COCO test-dev,"Swin-L (HTC++, multi scale)",58.7,0.8436830835117773,null,"['multiscale', 'Swin-Transformer']",2103.14030v2
Object Detection,COCO test-dev,"Swin-L (HTC++, single scale)",57.7,0.822269807280514,null,[']'],2103.14030v2
Object Detection,COCO test-dev,"Cascade Eff-B7 NAS-FPN (1280, self-training Copy Paste, single-scale)",57.3,0.8137044967880085,null,['NAS-FPN'],2012.07177v2
Object Detection,COCO test-dev,"PyCenterNet (Swin-L, multi-scale)",57.1,0.8094218415417558,null,"['End-to-End', 'Swin-Transformer', 'multiscale']",2204.08394v1
Object Detection,COCO test-dev,dBOT ViT-L (CLIP),56.8,0.8029978586723768,null,[']'],2209.03917v3
Object Detection,COCO test-dev,YOLOv7-D6 (44 fps),56.6,0.7987152034261241,null,['YOLO'],2207.02696v1
Object Detection,COCO test-dev,"SOLQ (Swin-L, single scale)",56.5,0.7965738758029979,null,"['Swin-Transformer', 'single scale', 'Transformer']",2106.02351v3
Object Detection,COCO test-dev,"CenterNet2 (Res2Net-101-DCN-BiFPN, self-training, 1560 single-scale)",56.4,0.7944325481798713,null,"['DCN', 'FPN']",2103.07461v1
Object Detection,COCO test-dev,QueryInst (single-scale),56.1,0.7880085653104923,null,[']'],2105.01928v3
Object Detection,COCO test-dev,dBOT ViT-L,56.1,0.7880085653104923,null,[']'],2209.03917v3
Object Detection,COCO test-dev,YOLOv7-E6 (56 fps),56.0,0.7858672376873662,null,"['YOLO', 'single scale']",2207.02696v1
Object Detection,COCO test-dev,YOLOv4-P7 with TTA,55.8,0.7815845824411134,null,"['YOLO', 'multiscale']",2011.08036v2
Object Detection,COCO test-dev,"DetectoRS (ResNeXt-101-64x4d, multi-scale)",55.7,0.7794432548179873,null,"['multiscale', 'ResNeXt']",2006.02334v2
Object Detection,COCO test-dev,"YOLOR-D6 (1280, single-scale, 30 fps)",55.4,0.773019271948608,null,"['YOLO', 'single scale']",2105.04206v1
Object Detection,COCO test-dev,YOLOv4-P6 with TTA,54.9,0.7623126338329763,null,"['YOLO', 'multiscale']",2011.08036v2
Object Detection,COCO test-dev,YOLOv7-W6 (84 fps),54.9,0.7623126338329763,null,"['YOLO', 'single scale']",2207.02696v1
Object Detection,COCO test-dev,Cascade Eff-B7 NAS-FPN (1280),54.8,0.7601713062098501,null,"['NAS-FPN', 'single scale']",2012.07177v2
Object Detection,COCO test-dev,"DetectoRS (ResNeXt-101-32x4d, multi-scale)",54.7,0.7580299785867238,null,"['multiscale', 'ResNeXt']",2006.02334v2
Object Detection,COCO test-dev,GLEE-Lite,54.7,0.7580299785867238,null,[']'],2312.09158v1
Object Detection,COCO test-dev,"YOLOv4-P6 CSP-P6 (single-scale, 32 fps)",54.3,0.7494646680942184,null,"['YOLO', 'single scale']",2011.08036v2
Object Detection,COCO test-dev,"SpineNet-190 (1280, with Self-training on OpenImages, single-scale)",54.3,0.7494646680942184,null,['single scale'],2006.06882v2
Object Detection,COCO test-dev,"UniverseNet-20.08d (Res2Net-101, DCN, multi-scale)",54.1,0.7451820128479656,null,"['DCN', 'multiscale']",2103.14027v3
Object Detection,COCO test-dev,"DyHead (ResNeXt-64x4d-101-DCN, multi scale)",54.0,0.7430406852248395,null,[']'],2106.08322v1
Object Detection,COCO test-dev,dBOT ViT-B (CLIP),53.6,0.7344753747323339,null,[']'],2209.03917v3
