Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Visual Question Answering (VQA),VQA v2 test-dev,PaLI,84.3,1.0,null,[']'],2209.06794v4
Visual Question Answering (VQA),VQA v2 test-dev,BEiT-3,84.19,0.9972361809045226,null,[']'],2208.10442v2
Visual Question Answering (VQA),VQA v2 test-dev,VLMo,82.78,0.9618090452261308,null,[']'],2111.02358v2
Visual Question Answering (VQA),VQA v2 test-dev,ONE-PEACE,82.6,0.9572864321608039,null,[']'],2305.11172v1
Visual Question Answering (VQA),VQA v2 test-dev,mPLUG (Huge),82.43,0.9530150753768847,null,[']'],2205.12005v2
Visual Question Answering (VQA),VQA v2 test-dev,CuMo-7B,82.2,0.9472361809045228,null,[']'],2405.05949v1
Visual Question Answering (VQA),VQA v2 test-dev,X2-VLM (large),81.9,0.9396984924623117,null,[']'],2211.12402v2
Visual Question Answering (VQA),VQA v2 test-dev,MMU,81.26,0.9236180904522615,null,[']'],2111.08896v3
Visual Question Answering (VQA),VQA v2 test-dev,Lyrics,81.2,0.9221105527638193,null,[']'],2312.05278v2
Visual Question Answering (VQA),VQA v2 test-dev,InternVL-C,81.2,0.9221105527638193,null,[']'],2312.14238v3
Visual Question Answering (VQA),VQA v2 test-dev,mPLUG-2,81.11,0.9198492462311558,null,[']'],2302.00402v1
Visual Question Answering (VQA),VQA v2 test-dev,X2-VLM (base),80.4,0.9020100502512565,null,[']'],2211.12402v2
Visual Question Answering (VQA),VQA v2 test-dev,XFM (base),80.4,0.9020100502512565,null,[']'],2301.05065v2
Visual Question Answering (VQA),VQA v2 test-dev,VAST,80.23,0.8977386934673368,null,[']'],null
Visual Question Answering (VQA),VQA v2 test-dev,Florence,80.16,0.8959798994974875,null,[']'],2111.11432v1
Visual Question Answering (VQA),VQA v2 test-dev,SimVLM,80.03,0.8927135678391961,null,[']'],2108.10904v3
Visual Question Answering (VQA),VQA v2 test-dev,VALOR,78.46,0.8532663316582914,null,[']'],2304.08345v1
Visual Question Answering (VQA),VQA v2 test-dev,Prismer,78.43,0.8525125628140706,null,[']'],2303.02506v3
Visual Question Answering (VQA),VQA v2 test-dev,X-VLM (base),78.22,0.8472361809045227,null,[']'],2111.08276v3
Visual Question Answering (VQA),VQA v2 test-dev,VK-OOD,77.9,0.8391959798994977,null,[']'],null
Visual Question Answering (VQA),VQA v2 test-dev,ALBEF (14M),75.84,0.7874371859296484,null,[']'],2107.07651v2
Visual Question Answering (VQA),VQA v2 test-dev,Oscar,73.82,0.7366834170854271,null,[']'],2004.06165v5
Visual Question Answering (VQA),VQA v2 test-dev,UNITER (Large),73.24,0.722110552763819,null,[']'],1909.11740v3
Visual Question Answering (VQA),VQA v2 test-dev,X-101 grid features + MCAN,72.59,0.705778894472362,null,[']'],2001.03615v2
Visual Question Answering (VQA),VQA v2 test-dev,CFR,72.5,0.7035175879396985,null,[']'],2110.02526v2
Visual Question Answering (VQA),VQA v2 test-dev,VL-BERTLARGE,71.79,0.6856783919597992,null,[']'],1908.08530v4
Visual Question Answering (VQA),VQA v2 test-dev,ViLT-B/32,71.26,0.6723618090452264,null,[']'],2102.03334v2
Visual Question Answering (VQA),VQA v2 test-dev,MCAN+VC,71.21,0.6711055276381909,null,[']'],2002.12204v3
